,Country,Year,Fossil fuels,Gas,Coal,Oil,Solar,Wind,Low-cacbon,Renewables,Hydropower
921,Malaysia,2011,"31,585 kWh","13,130 kWh","5,883 kWh","12,573 kWh",0 kWh,0 kWh,"31,585 kWh",939 kWh,762 kWh
922,Mexico,2011,"18,113 kWh","6,203 kWh","1,501 kWh","10,409 kWh",1 kWh,40 kWh,"18,113 kWh","1,101 kWh",877 kWh
923,Morocco,2011,"5,996 kWh",284 kWh,"1,052 kWh","4,660 kWh",0 kWh,58 kWh,"5,996 kWh",226 kWh,168 kWh
924,Netherlands,2011,"63,665 kWh","24,505 kWh","5,184 kWh","33,975 kWh",17 kWh,842 kWh,"63,665 kWh","2,445 kWh",9 kWh
925,New Zealand,2011,"32,543 kWh","9,179 kWh","3,713 kWh","19,651 kWh",3 kWh,"1,232 kWh","32,543 kWh","21,343 kWh","15,811 kWh"
926,North Macedonia,2011,"14,355 kWh",612 kWh,"8,200 kWh","5,544 kWh",2 kWh,0 kWh,"14,355 kWh","1,888 kWh","1,885 kWh"
927,Norway,2011,"34,247 kWh","8,140 kWh","1,985 kWh","24,121 kWh",5 kWh,715 kWh,"34,247 kWh","68,202 kWh","66,984 kWh"
928,Oman,2011,"80,977 kWh","56,386 kWh",37 kWh,"24,554 kWh",0 kWh,0 kWh,"80,977 kWh",,
929,Pakistan,2011,"3,249 kWh","1,779 kWh",234 kWh,"1,236 kWh",0 kWh,0 kWh,"3,249 kWh",425 kWh,425 kWh
930,Peru,2011,"6,259 kWh","2,135 kWh",323 kWh,"3,802 kWh",,0 kWh,"6,259 kWh","2,173 kWh","2,017 kWh"
931,Philippines,2011,"3,026 kWh",395 kWh,933 kWh,"1,698 kWh",0 kWh,3 kWh,"3,026 kWh",583 kWh,278 kWh
932,Poland,2011,"29,143 kWh","4,260 kWh","16,551 kWh","8,332 kWh",0 kWh,229 kWh,"29,143 kWh","1,228 kWh",167 kWh
933,Portugal,2011,"20,795 kWh","4,973 kWh","2,445 kWh","13,378 kWh",74 kWh,"2,392 kWh","20,795 kWh","6,752 kWh","3,012 kWh"
934,Qatar,2011,,"160,423 kWh",,"55,943 kWh",2 kWh,0 kWh,,,
935,Romania,2011,"16,336 kWh","6,387 kWh","4,721 kWh","5,228 kWh",0 kWh,189 kWh,"16,336 kWh","2,337 kWh","2,009 kWh"
936,Russia,2011,"50,023 kWh","30,387 kWh","7,627 kWh","12,009 kWh",0 kWh,0 kWh,"50,023 kWh","3,148 kWh","3,138 kWh"
937,Saudi Arabia,2011,"84,816 kWh","29,069 kWh",25 kWh,"55,721 kWh",0 kWh,0 kWh,"84,816 kWh",,
938,Singapore,2011,"151,592 kWh","15,691 kWh",14 kWh,"135,886 kWh",3 kWh,0 kWh,"151,592 kWh",,
939,Slovakia,2011,"26,175 kWh","9,982 kWh","7,859 kWh","8,334 kWh",203 kWh,3 kWh,"26,175 kWh","2,865 kWh","1,929 kWh"
940,Slovenia,2011,"27,333 kWh","4,154 kWh","8,195 kWh","14,983 kWh",88 kWh,0 kWh,"27,333 kWh","5,436 kWh","4,757 kWh"
941,South Africa,2011,"26,700 kWh",816 kWh,"20,072 kWh","5,812 kWh",4 kWh,2 kWh,"26,700 kWh",201 kWh,161 kWh
942,South Korea,2011,"55,820 kWh","9,853 kWh","19,794 kWh","26,173 kWh",52 kWh,48 kWh,"55,820 kWh",481 kWh,258 kWh
943,Spain,2011,"27,076 kWh","7,200 kWh","3,183 kWh","16,692 kWh",512 kWh,"2,505 kWh","27,076 kWh","5,555 kWh","1,806 kWh"
944,Sri Lanka,2011,,,167 kWh,"2,832 kWh",1 kWh,12 kWh,,624 kWh,606 kWh
945,Sweden,2011,"22,133 kWh","1,290 kWh","3,021 kWh","17,821 kWh",4 kWh,"1,780 kWh","22,133 kWh","25,887 kWh","19,541 kWh"
946,Switzerland,2011,"21,018 kWh","3,925 kWh",202 kWh,"16,892 kWh",59 kWh,24 kWh,"21,018 kWh","11,950 kWh","11,296 kWh"
947,Taiwan,2011,"50,417 kWh","7,363 kWh","20,259 kWh","22,795 kWh",7 kWh,178 kWh,"50,417 kWh",938 kWh,477 kWh
948,Thailand,2011,"17,013 kWh","6,450 kWh","2,656 kWh","7,907 kWh",4 kWh,0 kWh,"17,013 kWh",631 kWh,319 kWh
949,Trinidad and Tobago,2011,"161,732 kWh","144,233 kWh",0 kWh,"17,499 kWh",9 kWh,0 kWh,"161,732 kWh",9 kWh,0 kWh
950,Turkey,2011,"15,982 kWh","5,641 kWh","5,312 kWh","5,029 kWh",0 kWh,176 kWh,"15,982 kWh","2,164 kWh","1,947 kWh"
951,Turkmenistan,2011,,"38,679 kWh",,"12,990 kWh",0 kWh,0 kWh,,2 kWh,2 kWh
952,USSR,2011,,,,,,,,,
953,Ukraine,2011,"26,472 kWh","12,331 kWh","10,601 kWh","3,539 kWh",2 kWh,5 kWh,"26,472 kWh",680 kWh,663 kWh
954,United Arab Emirates,2011,"119,049 kWh","71,877 kWh",603 kWh,"46,569 kWh",7 kWh,0 kWh,"119,049 kWh",,
955,United Kingdom,2011,"32,301 kWh","12,944 kWh","5,652 kWh","13,705 kWh",11 kWh,696 kWh,"32,301 kWh","1,821 kWh",248 kWh
956,United States,2011,"69,294 kWh","20,970 kWh","17,437 kWh","30,887 kWh",42 kWh,"1,067 kWh","69,294 kWh","5,653 kWh","2,778 kWh"
957,Uzbekistan,2011,"18,693 kWh","16,297 kWh",340 kWh,"2,055 kWh",0 kWh,0 kWh,"18,693 kWh",543 kWh,543 kWh
958,Venezuela,2011,"25,450 kWh","11,454 kWh",82 kWh,"13,915 kWh",0 kWh,0 kWh,"25,450 kWh","7,884 kWh","7,884 kWh"
959,Vietnam,2011,"5,473 kWh",926 kWh,"2,283 kWh","2,264 kWh",0 kWh,1 kWh,"5,473 kWh","1,286 kWh","1,283 kWh"
960,Algeria,2012,"13,594 kWh","8,018 kWh",91 kWh,"5,486 kWh",2 kWh,0 kWh,"13,594 kWh",31 kWh,29 kWh
961,Argentina,2012,"19,804 kWh","10,885 kWh",326 kWh,"8,593 kWh",1 kWh,24 kWh,"19,804 kWh","2,289 kWh","1,906 kWh"
962,Australia,2012,"63,739 kWh","14,644 kWh","24,394 kWh","24,700 kWh",291 kWh,932 kWh,"63,739 kWh","3,844 kWh","2,055 kWh"
963,Austria,2012,"31,524 kWh","10,231 kWh","4,463 kWh","16,830 kWh",110 kWh,801 kWh,"31,524 kWh","17,651 kWh","14,262 kWh"
964,Azerbaijan,2012,"15,410 kWh","9,885 kWh",5 kWh,"5,521 kWh",0 kWh,0 kWh,"15,410 kWh",526 kWh,526 kWh
965,Bangladesh,2012,"1,922 kWh","1,403 kWh",70 kWh,449 kWh,2 kWh,0 kWh,"1,922 kWh",16 kWh,14 kWh
966,Belarus,2012,"33,469 kWh","20,023 kWh",949 kWh,"12,497 kWh",0 kWh,2 kWh,"33,469 kWh",88 kWh,20 kWh
967,Belgium,2012,"49,283 kWh","15,175 kWh","3,505 kWh","30,603 kWh",534 kWh,686 kWh,"49,283 kWh","3,196 kWh",89 kWh
968,Brazil,2012,"9,679 kWh","1,629 kWh",889 kWh,"7,161 kWh",0 kWh,69 kWh,"9,679 kWh","7,074 kWh","5,695 kWh"
969,Bulgaria,2012,"20,901 kWh","3,808 kWh","10,740 kWh","6,353 kWh",298 kWh,447 kWh,"20,901 kWh","2,085 kWh","1,181 kWh"
970,Canada,2012,"72,788 kWh","28,659 kWh","7,074 kWh","37,055 kWh",70 kWh,894 kWh,"72,788 kWh","32,654 kWh","30,055 kWh"
971,Chile,2012,"18,870 kWh","3,057 kWh","4,504 kWh","11,310 kWh",0 kWh,65 kWh,"18,870 kWh","4,354 kWh","3,188 kWh"
972,China,2012,"21,650 kWh","1,104 kWh","16,408 kWh","4,138 kWh",7 kWh,207 kWh,"21,650 kWh","2,034 kWh","1,731 kWh"
973,Colombia,2012,"7,193 kWh","2,068 kWh","1,192 kWh","3,934 kWh",0 kWh,3 kWh,"7,193 kWh","3,115 kWh","2,850 kWh"
974,Croatia,2012,"16,806 kWh","6,479 kWh","1,692 kWh","8,634 kWh",2 kWh,208 kWh,"16,806 kWh","3,417 kWh","3,062 kWh"
975,Cyprus,2012,,,2 kWh,"26,536 kWh",52 kWh,439 kWh,,,
976,Czechia,2012,"37,372 kWh","7,586 kWh","19,613 kWh","10,174 kWh",560 kWh,108 kWh,"37,372 kWh","2,552 kWh",555 kWh
977,Denmark,2012,"27,501 kWh","7,249 kWh","5,295 kWh","14,956 kWh",51 kWh,"5,028 kWh","27,501 kWh","8,063 kWh",9 kWh
978,Ecuador,2012,"9,003 kWh",484 kWh,8 kWh,"8,510 kWh",0 kWh,0 kWh,"9,003 kWh","2,231 kWh","2,167 kWh"
979,Egypt,2012,"10,242 kWh","5,550 kWh",50 kWh,"4,642 kWh",15 kWh,40 kWh,"10,242 kWh",447 kWh,391 kWh
980,Estonia,2012,"52,119 kWh","4,796 kWh","32,921 kWh","14,402 kWh",1 kWh,900 kWh,"52,119 kWh","3,437 kWh",87 kWh
981,Finland,2012,"35,927 kWh","5,901 kWh","9,698 kWh","20,329 kWh",3 kWh,250 kWh,"35,927 kWh","15,788 kWh","8,539 kWh"
982,France,2012,"23,788 kWh","7,047 kWh","2,041 kWh","14,700 kWh",175 kWh,657 kWh,"23,788 kWh","4,147 kWh","2,556 kWh"
983,Germany,2012,"37,434 kWh","9,947 kWh","11,479 kWh","16,008 kWh",899 kWh,"1,738 kWh","37,434 kWh","5,490 kWh",732 kWh
984,Greece,2012,"29,183 kWh","4,284 kWh","8,634 kWh","16,266 kWh",424 kWh,963 kWh,"29,183 kWh","2,677 kWh","1,099 kWh"
985,Hong Kong,2012,"43,723 kWh","3,644 kWh","11,722 kWh","28,357 kWh",1 kWh,0 kWh,"43,723 kWh",27 kWh,0 kWh
986,Hungary,2012,"20,134 kWh","9,816 kWh","3,059 kWh","7,258 kWh",2 kWh,213 kWh,"20,134 kWh",987 kWh,59 kWh
987,Iceland,2012,,,"3,453 kWh","25,718 kWh",0 kWh,0 kWh,,"148,089 kWh","105,381 kWh"
988,India,2012,"5,007 kWh",437 kWh,"2,972 kWh","1,598 kWh",5 kWh,59 kWh,"5,007 kWh",372 kWh,249 kWh
989,Indonesia,2012,"7,304 kWh","1,717 kWh","2,021 kWh","3,565 kWh",0 kWh,0 kWh,"7,304 kWh",271 kWh,140 kWh
990,Iran,2012,"32,578 kWh","19,728 kWh",138 kWh,"12,712 kWh",0 kWh,10 kWh,"32,578 kWh",454 kWh,443 kWh
991,Iraq,2012,,"1,873 kWh",,"10,381 kWh",0 kWh,0 kWh,,356 kWh,356 kWh
992,Ireland,2012,"33,274 kWh","10,276 kWh","5,761 kWh","17,237 kWh",0 kWh,"2,410 kWh","33,274 kWh","3,415 kWh",482 kWh
993,Israel,2012,"37,072 kWh","3,216 kWh","13,497 kWh","20,359 kWh",133 kWh,2 kWh,"37,072 kWh",196 kWh,12 kWh
994,Italy,2012,"27,721 kWh","11,855 kWh","3,036 kWh","12,830 kWh",859 kWh,611 kWh,"27,721 kWh","4,575 kWh","1,908 kWh"
995,Japan,2012,"40,586 kWh","9,637 kWh","10,592 kWh","20,357 kWh",158 kWh,101 kWh,"40,586 kWh","2,473 kWh","1,653 kWh"
996,Kazakhstan,2012,"41,643 kWh","6,276 kWh","25,742 kWh","9,625 kWh",0 kWh,0 kWh,"41,643 kWh","1,225 kWh","1,224 kWh"
997,Kuwait,2012,"122,214 kWh","51,645 kWh",223 kWh,"70,347 kWh",0 kWh,0 kWh,"122,214 kWh",,
998,Latvia,2012,"16,728 kWh","6,950 kWh",519 kWh,"9,259 kWh",0 kWh,144 kWh,"16,728 kWh","5,654 kWh","4,940 kWh"
999,Lithuania,2012,"21,074 kWh","10,079 kWh",887 kWh,"10,108 kWh",2 kWh,483 kWh,"21,074 kWh","1,320 kWh",378 kWh
1000,Luxembourg,2012,"87,677 kWh","23,038 kWh","1,177 kWh","63,462 kWh",198 kWh,400 kWh,"87,677 kWh","2,699 kWh",508 kWh
1001,Malaysia,2012,"33,948 kWh","14,166 kWh","6,223 kWh","13,559 kWh",1 kWh,0 kWh,"33,948 kWh","1,063 kWh",855 kWh
1002,Mexico,2012,"18,137 kWh","6,363 kWh","1,289 kWh","10,485 kWh",2 kWh,87 kWh,"18,137 kWh","1,013 kWh",756 kWh
1003,Morocco,2012,"6,055 kWh",375 kWh,"1,055 kWh","4,626 kWh",0 kWh,60 kWh,"6,055 kWh",194 kWh,134 kWh
1004,Netherlands,2012,"62,190 kWh","23,403 kWh","5,668 kWh","33,119 kWh",41 kWh,814 kWh,"62,190 kWh","2,474 kWh",17 kWh
1005,New Zealand,2012,"33,995 kWh","10,123 kWh","4,597 kWh","19,275 kWh",3 kWh,"1,293 kWh","33,995 kWh","19,934 kWh","14,235 kWh"
1006,North Macedonia,2012,"13,700 kWh",634 kWh,"7,710 kWh","5,356 kWh",4 kWh,0 kWh,"13,700 kWh","1,365 kWh","1,360 kWh"
1007,Norway,2012,"33,180 kWh","8,000 kWh","1,898 kWh","23,282 kWh",5 kWh,846 kWh,"33,180 kWh","78,802 kWh","77,425 kWh"
1008,Oman,2012,"80,129 kWh","55,763 kWh",102 kWh,"24,264 kWh",0 kWh,0 kWh,"80,129 kWh",,
1009,Pakistan,2012,"3,219 kWh","1,810 kWh",233 kWh,"1,177 kWh",1 kWh,0 kWh,"3,219 kWh",147 kWh,146 kWh
1010,Peru,2012,"6,394 kWh","2,307 kWh",341 kWh,"3,746 kWh",6 kWh,0 kWh,"6,394 kWh","2,236 kWh","2,031 kWh"
1011,Philippines,2012,"3,066 kWh",372 kWh,959 kWh,"1,735 kWh",0 kWh,2 kWh,"3,066 kWh",602 kWh,287 kWh
1012,Poland,2012,"27,952 kWh","4,510 kWh","15,425 kWh","8,018 kWh",0 kWh,337 kWh,"27,952 kWh","1,542 kWh",145 kWh
1013,Portugal,2012,"19,778 kWh","4,329 kWh","3,217 kWh","12,231 kWh",102 kWh,"2,674 kWh","19,778 kWh","5,482 kWh","1,465 kWh"
1014,Qatar,2012,"232,299 kWh","176,334 kWh",28 kWh,"55,937 kWh",2 kWh,0 kWh,"232,299 kWh",,
1015,Romania,2012,"15,879 kWh","6,224 kWh","4,370 kWh","5,284 kWh",1 kWh,359 kWh,"15,879 kWh","2,137 kWh","1,643 kWh"
