,Country,Year,Fossil fuels,Gas,Coal,Oil,Solar,Wind,Low-cacbon,Renewables,Hydropower
1426,Switzerland,2017,"19,110 kWh","4,141 kWh",152 kWh,"14,818 kWh",530 kWh,42 kWh,"19,110 kWh","12,177 kWh","10,736 kWh"
1427,Taiwan,2017,"53,411 kWh","9,823 kWh","19,905 kWh","23,683 kWh",188 kWh,194 kWh,"53,411 kWh","1,246 kWh",613 kWh
1428,Thailand,2017,"19,158 kWh","7,064 kWh","2,946 kWh","9,148 kWh",171 kWh,42 kWh,"19,158 kWh","1,106 kWh",176 kWh
1429,Trinidad and Tobago,2017,"141,532 kWh","124,098 kWh",0 kWh,"17,434 kWh",10 kWh,0 kWh,"141,532 kWh",10 kWh,0 kWh
1430,Turkey,2017,"18,891 kWh","6,282 kWh","5,590 kWh","7,019 kWh",94 kWh,580 kWh,"18,891 kWh","2,883 kWh","1,887 kWh"
1431,Turkmenistan,2017,,"41,483 kWh",,"13,138 kWh",3 kWh,0 kWh,,5 kWh,1 kWh
1432,USSR,2017,,,,,,,,,
1433,Ukraine,2017,"16,285 kWh","6,760 kWh","6,708 kWh","2,817 kWh",43 kWh,59 kWh,"16,285 kWh",662 kWh,533 kWh
1434,United Arab Emirates,2017,"135,383 kWh","74,088 kWh","2,730 kWh","58,564 kWh",219 kWh,0 kWh,"135,383 kWh",,
1435,United Kingdom,2017,"26,977 kWh","11,890 kWh","1,729 kWh","13,358 kWh",462 kWh,"2,000 kWh","26,977 kWh","4,403 kWh",237 kWh
1436,United States,2017,"64,618 kWh","22,438 kWh","11,682 kWh","30,497 kWh",630 kWh,"2,073 kWh","64,618 kWh","7,110 kWh","2,395 kWh"
1437,Uzbekistan,2017,"15,982 kWh","14,018 kWh",516 kWh,"1,447 kWh",1 kWh,0 kWh,"15,982 kWh",661 kWh,661 kWh
1438,Venezuela,2017,"21,734 kWh","12,631 kWh",31 kWh,"9,071 kWh",0 kWh,8 kWh,"21,734 kWh","6,109 kWh","6,098 kWh"
1439,Vietnam,2017,"7,802 kWh","1,012 kWh","3,509 kWh","3,281 kWh",0 kWh,10 kWh,"7,802 kWh","2,492 kWh","2,479 kWh"
1440,Algeria,2018,"15,925 kWh","10,353 kWh",139 kWh,"5,433 kWh",38 kWh,1 kWh,"15,925 kWh",46 kWh,7 kWh
1441,Argentina,2018,"19,259 kWh","10,966 kWh",309 kWh,"7,985 kWh",6 kWh,84 kWh,"19,259 kWh","2,511 kWh","1,923 kWh"
1442,Australia,2018,"59,686 kWh","14,889 kWh","20,372 kWh","24,425 kWh","1,306 kWh","1,722 kWh","59,686 kWh","5,387 kWh","1,834 kWh"
1443,Austria,2018,"30,239 kWh","9,826 kWh","3,652 kWh","16,761 kWh",435 kWh,"1,805 kWh","30,239 kWh","15,947 kWh","11,264 kWh"
1444,Azerbaijan,2018,"16,379 kWh","10,653 kWh",1 kWh,"5,725 kWh",10 kWh,22 kWh,"16,379 kWh",518 kWh,461 kWh
1445,Bangladesh,2018,"2,611 kWh","1,676 kWh",175 kWh,761 kWh,4 kWh,0 kWh,"2,611 kWh",19 kWh,14 kWh
1446,Belarus,2018,"31,492 kWh","19,921 kWh","1,515 kWh","10,056 kWh",32 kWh,27 kWh,"31,492 kWh",198 kWh,88 kWh
1447,Belgium,2018,"51,340 kWh","14,739 kWh","3,133 kWh","33,468 kWh",902 kWh,"1,750 kWh","51,340 kWh","4,703 kWh",68 kWh
1448,Brazil,2018,"8,836 kWh","1,708 kWh",909 kWh,"6,220 kWh",44 kWh,610 kWh,"8,836 kWh","7,513 kWh","4,897 kWh"
1449,Bulgaria,2018,"21,122 kWh","4,247 kWh","8,914 kWh","7,960 kWh",499 kWh,490 kWh,"21,122 kWh","3,870 kWh","1,913 kWh"
1450,Canada,2018,"71,404 kWh","31,377 kWh","4,907 kWh","35,120 kWh",271 kWh,"2,391 kWh","71,404 kWh","31,798 kWh","27,568 kWh"
1451,Chile,2018,"18,947 kWh","3,014 kWh","4,629 kWh","11,304 kWh",724 kWh,508 kWh,"18,947 kWh","6,093 kWh","3,306 kWh"
1452,China,2018,"23,094 kWh","2,004 kWh","15,774 kWh","5,317 kWh",330 kWh,683 kWh,"23,094 kWh","3,487 kWh","2,238 kWh"
1453,Colombia,2018,"7,963 kWh","2,583 kWh",923 kWh,"4,458 kWh",1 kWh,2 kWh,"7,963 kWh","3,369 kWh","3,042 kWh"
1454,Croatia,2018,"17,210 kWh","6,408 kWh","1,021 kWh","9,781 kWh",48 kWh,849 kWh,"17,210 kWh","6,383 kWh","4,897 kWh"
1455,Cyprus,2018,,,130 kWh,"25,389 kWh",416 kWh,479 kWh,,,
1456,Czechia,2018,"36,257 kWh","7,578 kWh","17,657 kWh","11,022 kWh",588 kWh,153 kWh,"36,257 kWh","2,953 kWh",409 kWh
1457,Denmark,2018,"23,510 kWh","5,412 kWh","3,255 kWh","14,843 kWh",437 kWh,"6,378 kWh","23,510 kWh","10,532 kWh",7 kWh
1458,Ecuador,2018,"8,774 kWh",428 kWh,19 kWh,"8,328 kWh",6 kWh,12 kWh,"8,774 kWh","3,326 kWh","3,215 kWh"
1459,Egypt,2018,"9,867 kWh","5,745 kWh",245 kWh,"3,878 kWh",14 kWh,76 kWh,"9,867 kWh",420 kWh,330 kWh
1460,Estonia,2018,"54,169 kWh","3,784 kWh","37,167 kWh","13,217 kWh",62 kWh,"1,273 kWh","54,169 kWh","4,731 kWh",30 kWh
1461,Finland,2018,"32,643 kWh","3,810 kWh","8,863 kWh","19,971 kWh",43 kWh,"2,801 kWh","32,643 kWh","17,393 kWh","6,380 kWh"
1462,France,2018,"21,841 kWh","6,665 kWh","1,482 kWh","13,694 kWh",430 kWh,"1,174 kWh","21,841 kWh","5,183 kWh","2,632 kWh"
1463,Germany,2018,"35,609 kWh","10,356 kWh","9,731 kWh","15,522 kWh","1,415 kWh","3,509 kWh","35,609 kWh","7,845 kWh",565 kWh
1464,Greece,2018,"26,257 kWh","4,933 kWh","5,151 kWh","16,173 kWh",943 kWh,"1,568 kWh","26,257 kWh","4,218 kWh","1,429 kWh"
1465,Hong Kong,2018,"48,550 kWh","4,033 kWh","10,017 kWh","34,500 kWh",2 kWh,0 kWh,"48,550 kWh",60 kWh,0 kWh
1466,Hungary,2018,"22,279 kWh","9,843 kWh","2,526 kWh","9,911 kWh",170 kWh,164 kWh,"22,279 kWh","1,375 kWh",60 kWh
1467,Iceland,2018,,,"3,778 kWh","37,137 kWh",0 kWh,33 kWh,,"147,380 kWh","103,541 kWh"
1468,India,2018,"6,026 kWh",424 kWh,"3,639 kWh","1,964 kWh",70 kWh,117 kWh,"6,026 kWh",535 kWh,270 kWh
1469,Indonesia,2018,"7,397 kWh","1,667 kWh","2,455 kWh","3,274 kWh",1 kWh,2 kWh,"7,397 kWh",630 kWh,214 kWh
1470,Iran,2018,"35,522 kWh","24,836 kWh",185 kWh,"10,500 kWh",7 kWh,23 kWh,"35,522 kWh",335 kWh,304 kWh
1471,Iraq,2018,"14,754 kWh","3,597 kWh",0 kWh,"11,157 kWh",25 kWh,0 kWh,"14,754 kWh",143 kWh,118 kWh
1472,Ireland,2018,"32,524 kWh","10,778 kWh","3,393 kWh","18,353 kWh",12 kWh,"4,728 kWh","32,524 kWh","6,050 kWh",380 kWh
1473,Israel,2018,"33,805 kWh","12,444 kWh","6,478 kWh","14,883 kWh",572 kWh,14 kWh,"33,805 kWh",689 kWh,7 kWh
1474,Italy,2018,"25,469 kWh","11,559 kWh","1,713 kWh","12,197 kWh","1,001 kWh",783 kWh,"25,469 kWh","5,488 kWh","2,157 kWh"
1475,Japan,2018,"36,778 kWh","9,165 kWh","10,982 kWh","16,630 kWh","1,302 kWh",135 kWh,"36,778 kWh","3,929 kWh","1,700 kWh"
1476,Kazakhstan,2018,"41,764 kWh","8,993 kWh","22,841 kWh","9,931 kWh",20 kWh,55 kWh,"41,764 kWh","1,556 kWh","1,481 kWh"
1477,Kuwait,2018,"106,911 kWh","48,995 kWh",510 kWh,"57,407 kWh",33 kWh,1 kWh,"106,911 kWh",,
1478,Latvia,2018,"17,230 kWh","7,086 kWh",291 kWh,"9,853 kWh",2 kWh,167 kWh,"17,230 kWh","5,276 kWh","3,324 kWh"
1479,Lithuania,2018,"22,107 kWh","7,784 kWh",855 kWh,"13,468 kWh",80 kWh,"1,053 kWh","22,107 kWh","2,509 kWh",396 kWh
1480,Luxembourg,2018,"70,922 kWh","13,078 kWh",799 kWh,"57,045 kWh",517 kWh,"1,108 kWh","70,922 kWh","5,454 kWh",404 kWh
1481,Malaysia,2018,"34,842 kWh","13,790 kWh","7,992 kWh","13,060 kWh",52 kWh,0 kWh,"34,842 kWh","2,491 kWh","2,150 kWh"
1482,Mexico,2018,"16,784 kWh","7,279 kWh","1,270 kWh","8,235 kWh",69 kWh,265 kWh,"16,784 kWh","1,208 kWh",693 kWh
1483,Morocco,2018,"6,253 kWh",298 kWh,"1,667 kWh","4,288 kWh",70 kWh,283 kWh,"6,253 kWh",478 kWh,125 kWh
1484,Netherlands,2018,"55,420 kWh","20,571 kWh","5,560 kWh","29,289 kWh",567 kWh,"1,615 kWh","55,420 kWh","3,412 kWh",11 kWh
1485,New Zealand,2018,"33,103 kWh","9,305 kWh","3,239 kWh","20,559 kWh",55 kWh,"1,131 kWh","33,103 kWh","20,321 kWh","14,356 kWh"
1486,North Macedonia,2018,"11,436 kWh","1,149 kWh","4,755 kWh","5,532 kWh",29 kWh,122 kWh,"11,436 kWh","2,475 kWh","2,242 kWh"
1487,Norway,2018,"31,481 kWh","8,350 kWh","1,749 kWh","21,382 kWh",30 kWh,"1,931 kWh","31,481 kWh","72,077 kWh","69,213 kWh"
1488,Oman,2018,"81,654 kWh","54,327 kWh",188 kWh,"27,139 kWh",9 kWh,0 kWh,"81,654 kWh",,
1489,Pakistan,2018,"3,900 kWh","1,984 kWh",626 kWh,"1,289 kWh",9 kWh,34 kWh,"3,900 kWh",413 kWh,355 kWh
1490,Peru,2018,"6,978 kWh","2,492 kWh",244 kWh,"4,241 kWh",65 kWh,123 kWh,"6,978 kWh","2,910 kWh","2,525 kWh"
1491,Philippines,2018,"4,424 kWh",377 kWh,"1,751 kWh","2,296 kWh",30 kWh,28 kWh,"4,424 kWh",617 kWh,229 kWh
1492,Poland,2018,"29,809 kWh","5,173 kWh","15,035 kWh","9,601 kWh",21 kWh,879 kWh,"29,809 kWh","1,852 kWh",135 kWh
1493,Portugal,2018,"21,859 kWh","5,636 kWh","3,078 kWh","13,145 kWh",258 kWh,"3,244 kWh","21,859 kWh","8,035 kWh","3,186 kWh"
1494,Qatar,2018,"202,407 kWh","147,153 kWh",169 kWh,"55,086 kWh",8 kWh,0 kWh,"202,407 kWh",,
1495,Romania,2018,"15,025 kWh","5,897 kWh","3,041 kWh","6,087 kWh",239 kWh,853 kWh,"15,025 kWh","3,720 kWh","2,384 kWh"
1496,Russia,2018,"50,897 kWh","31,204 kWh","6,920 kWh","12,773 kWh",11 kWh,4 kWh,"50,897 kWh","3,496 kWh","3,463 kWh"
1497,Saudi Arabia,2018,"88,561 kWh","32,012 kWh",32 kWh,"56,517 kWh",12 kWh,0 kWh,"88,561 kWh",,
1498,Singapore,2018,"163,047 kWh","21,130 kWh",955 kWh,"140,962 kWh",62 kWh,0 kWh,"163,047 kWh",,
1499,Slovakia,2018,"24,909 kWh","8,705 kWh","7,082 kWh","9,122 kWh",284 kWh,3 kWh,"24,909 kWh","3,293 kWh","1,744 kWh"
1500,Slovenia,2018,"25,151 kWh","4,051 kWh","6,125 kWh","14,975 kWh",320 kWh,8 kWh,"25,151 kWh","7,051 kWh","5,910 kWh"
1501,South Africa,2018,"23,633 kWh",769 kWh,"17,096 kWh","5,769 kWh",211 kWh,296 kWh,"23,633 kWh",596 kWh,51 kWh
1502,South Korea,2018,"59,707 kWh","11,186 kWh","19,501 kWh","29,021 kWh",521 kWh,126 kWh,"59,707 kWh","1,563 kWh",172 kWh
1503,Spain,2018,"25,582 kWh","6,731 kWh","2,864 kWh","15,987 kWh",721 kWh,"2,878 kWh","25,582 kWh","6,378 kWh","1,941 kWh"
1504,Sri Lanka,2018,,,708 kWh,"3,291 kWh",39 kWh,40 kWh,,878 kWh,786 kWh
1505,Sweden,2018,"18,389 kWh","1,001 kWh","2,266 kWh","15,122 kWh",102 kWh,"4,326 kWh","18,389 kWh","25,973 kWh","16,180 kWh"
1506,Switzerland,2018,"18,216 kWh","3,899 kWh",140 kWh,"14,177 kWh",604 kWh,38 kWh,"18,216 kWh","12,298 kWh","10,754 kWh"
1507,Taiwan,2018,"53,487 kWh","9,973 kWh","19,960 kWh","23,554 kWh",302 kWh,190 kWh,"53,487 kWh","1,257 kWh",500 kWh
1508,Thailand,2018,"19,468 kWh","7,032 kWh","3,131 kWh","9,305 kWh",169 kWh,61 kWh,"19,468 kWh","1,366 kWh",283 kWh
1509,Trinidad and Tobago,2018,"131,641 kWh","115,469 kWh",0 kWh,"16,171 kWh",10 kWh,0 kWh,"131,641 kWh",10 kWh,0 kWh
1510,Turkey,2018,"18,156 kWh","5,704 kWh","5,739 kWh","6,714 kWh",249 kWh,637 kWh,"18,156 kWh","3,189 kWh","1,915 kWh"
1511,Turkmenistan,2018,,"46,813 kWh",,"13,033 kWh",3 kWh,0 kWh,,4 kWh,1 kWh
1512,USSR,2018,,,,,,,,,
1513,Ukraine,2018,"17,159 kWh","6,878 kWh","7,341 kWh","2,941 kWh",66 kWh,71 kWh,"17,159 kWh",788 kWh,621 kWh
1514,United Arab Emirates,2018,"132,442 kWh","72,264 kWh","2,443 kWh","57,735 kWh",347 kWh,0 kWh,"132,442 kWh",,
1515,United Kingdom,2018,"26,392 kWh","11,826 kWh","1,457 kWh","13,109 kWh",505 kWh,"2,266 kWh","26,392 kWh","4,893 kWh",217 kWh
1516,United States,2018,"66,866 kWh","24,747 kWh","11,108 kWh","31,010 kWh",751 kWh,"2,194 kWh","66,866 kWh","7,224 kWh","2,306 kWh"
1517,Uzbekistan,2018,"15,964 kWh","13,682 kWh",728 kWh,"1,554 kWh",1 kWh,0 kWh,"15,964 kWh",481 kWh,481 kWh
1518,Venezuela,2018,"18,285 kWh","10,601 kWh",13 kWh,"7,670 kWh",0 kWh,0 kWh,"18,285 kWh","5,795 kWh","5,791 kWh"
1519,Vietnam,2018,"9,068 kWh","1,018 kWh","4,631 kWh","3,419 kWh",3 kWh,14 kWh,"9,068 kWh","2,376 kWh","2,355 kWh"
1520,Algeria,2019,"16,211 kWh","10,550 kWh",112 kWh,"5,549 kWh",38 kWh,1 kWh,"16,211 kWh",48 kWh,9 kWh
1521,Argentina,2019,"17,779 kWh","10,405 kWh",182 kWh,"7,193 kWh",47 kWh,294 kWh,"17,779 kWh","2,469 kWh","1,620 kWh"
1522,Australia,2019,"60,384 kWh","17,375 kWh","19,182 kWh","23,827 kWh","1,902 kWh","2,024 kWh","60,384 kWh","5,880 kWh","1,458 kWh"
1523,Austria,2019,"31,141 kWh","10,023 kWh","3,823 kWh","17,296 kWh",505 kWh,"2,212 kWh","31,141 kWh","17,173 kWh","12,119 kWh"
1524,Azerbaijan,2019,"17,075 kWh","11,521 kWh",1 kWh,"5,553 kWh",11 kWh,27 kWh,"17,075 kWh",472 kWh,403 kWh
1525,Bangladesh,2019,"2,898 kWh","1,869 kWh",290 kWh,738 kWh,5 kWh,0 kWh,"2,898 kWh",18 kWh,13 kWh
1526,Belarus,2019,"31,680 kWh","19,810 kWh","1,599 kWh","10,271 kWh",49 kWh,45 kWh,"31,680 kWh",243 kWh,96 kWh
1527,Belgium,2019,"49,405 kWh","15,105 kWh","3,124 kWh","31,176 kWh",974 kWh,"2,234 kWh","49,405 kWh","5,183 kWh",69 kWh
1528,Brazil,2019,"8,681 kWh","1,687 kWh",848 kWh,"6,146 kWh",83 kWh,697 kWh,"8,681 kWh","7,809 kWh","4,952 kWh"
1529,Bulgaria,2019,"20,827 kWh","4,014 kWh","8,387 kWh","8,425 kWh",530 kWh,492 kWh,"20,827 kWh","3,232 kWh","1,095 kWh"
1530,Canada,2019,"70,253 kWh","31,144 kWh","4,535 kWh","34,573 kWh",287 kWh,"2,310 kWh","70,253 kWh","30,953 kWh","26,819 kWh"
1531,Chile,2019,"19,053 kWh","3,421 kWh","4,574 kWh","11,059 kWh",872 kWh,678 kWh,"19,053 kWh","5,841 kWh","2,968 kWh"
1532,China,2019,"23,857 kWh","2,169 kWh","16,121 kWh","5,567 kWh",415 kWh,751 kWh,"23,857 kWh","3,800 kWh","2,359 kWh"
1533,Colombia,2019,"8,005 kWh","2,565 kWh","1,069 kWh","4,372 kWh",7 kWh,3 kWh,"8,005 kWh","3,217 kWh","2,859 kWh"
1534,Croatia,2019,"17,581 kWh","6,776 kWh","1,187 kWh","9,619 kWh",53 kWh,937 kWh,"17,581 kWh","5,620 kWh","3,719 kWh"
1535,Cyprus,2019,,,158 kWh,"25,052 kWh",468 kWh,512 kWh,,,
1536,Czechia,2019,"34,945 kWh","7,901 kWh","15,884 kWh","11,161 kWh",572 kWh,175 kWh,"34,945 kWh","3,149 kWh",502 kWh
1537,Denmark,2019,"21,604 kWh","5,000 kWh","1,825 kWh","14,780 kWh",438 kWh,"7,345 kWh","21,604 kWh","11,535 kWh",8 kWh
1538,Ecuador,2019,"8,297 kWh",375 kWh,6 kWh,"7,917 kWh",6 kWh,13 kWh,"8,297 kWh","3,863 kWh","3,745 kWh"
1539,Egypt,2019,"9,407 kWh","5,590 kWh",217 kWh,"3,600 kWh",37 kWh,124 kWh,"9,407 kWh",513 kWh,351 kWh
1540,Estonia,2019,"42,242 kWh","3,512 kWh","26,983 kWh","11,747 kWh",146 kWh,"1,365 kWh","42,242 kWh","5,054 kWh",38 kWh
1541,Finland,2019,"30,918 kWh","3,684 kWh","7,434 kWh","19,800 kWh",70 kWh,"2,876 kWh","30,918 kWh","17,367 kWh","5,930 kWh"
1542,France,2019,"21,490 kWh","6,780 kWh","1,157 kWh","13,553 kWh",483 kWh,"1,417 kWh","21,490 kWh","5,164 kWh","2,294 kWh"
1543,Germany,2019,"33,817 kWh","10,738 kWh","7,507 kWh","15,571 kWh","1,434 kWh","3,991 kWh","33,817 kWh","8,367 kWh",626 kWh
1544,Greece,2019,"25,719 kWh","5,446 kWh","3,516 kWh","16,758 kWh","1,104 kWh","1,811 kWh","25,719 kWh","4,247 kWh",997 kWh
1545,Hong Kong,2019,"45,919 kWh","4,157 kWh","9,574 kWh","32,188 kWh",6 kWh,0 kWh,"45,919 kWh",72 kWh,0 kWh
1546,Hungary,2019,"22,284 kWh","10,074 kWh","2,189 kWh","10,022 kWh",404 kWh,197 kWh,"22,284 kWh","1,631 kWh",59 kWh
1547,Iceland,2019,,,"3,619 kWh","30,761 kWh",0 kWh,48 kWh,,"141,148 kWh","98,352 kWh"
1548,India,2019,"6,042 kWh",428 kWh,"3,607 kWh","2,007 kWh",88 kWh,121 kWh,"6,042 kWh",607 kWh,309 kWh
1549,Indonesia,2019,"7,766 kWh","1,632 kWh","2,972 kWh","3,161 kWh",1 kWh,5 kWh,"7,766 kWh",709 kWh,207 kWh
1550,Iran,2019,"36,380 kWh","25,229 kWh",219 kWh,"10,932 kWh",16 kWh,22 kWh,"36,380 kWh","1,069 kWh","1,031 kWh"
1551,Iraq,2019,"15,092 kWh","4,690 kWh",0 kWh,"10,402 kWh",24 kWh,0 kWh,"15,092 kWh",339 kWh,315 kWh
1552,Ireland,2019,"31,376 kWh","10,858 kWh","2,398 kWh","18,120 kWh",21 kWh,"5,394 kWh","31,376 kWh","6,895 kWh",477 kWh
1553,Israel,2019,"34,009 kWh","12,514 kWh","6,726 kWh","14,769 kWh",954 kWh,15 kWh,"34,009 kWh","1,076 kWh",7 kWh
1554,Italy,2019,"25,022 kWh","11,852 kWh","1,298 kWh","11,871 kWh","1,045 kWh",892 kWh,"25,022 kWh","5,442 kWh","2,046 kWh"
1555,Japan,2019,"35,597 kWh","8,595 kWh","10,832 kWh","16,169 kWh","1,420 kWh",141 kWh,"35,597 kWh","3,952 kWh","1,543 kWh"
1556,Kazakhstan,2019,"41,844 kWh","10,506 kWh","21,378 kWh","9,960 kWh",55 kWh,99 kWh,"41,844 kWh","1,560 kWh","1,405 kWh"
1557,Kuwait,2019,"94,576 kWh","41,371 kWh",455 kWh,"52,750 kWh",35 kWh,2 kWh,"94,576 kWh",,
1558,Latvia,2019,"18,518 kWh","6,845 kWh",249 kWh,"11,424 kWh",4 kWh,212 kWh,"18,518 kWh","4,877 kWh","2,899 kWh"
1559,Lithuania,2019,"22,084 kWh","7,571 kWh",810 kWh,"13,703 kWh",84 kWh,"1,387 kWh","22,084 kWh","2,789 kWh",320 kWh
1560,Luxembourg,2019,"70,235 kWh","12,832 kWh",858 kWh,"56,545 kWh",554 kWh,"1,196 kWh","70,235 kWh","6,039 kWh",455 kWh
1561,Malaysia,2019,"35,266 kWh","13,783 kWh","7,460 kWh","14,022 kWh",113 kWh,0 kWh,"35,266 kWh","2,558 kWh","2,105 kWh"
1562,Mexico,2019,"16,440 kWh","7,466 kWh","1,202 kWh","7,771 kWh",210 kWh,352 kWh,"16,440 kWh","1,237 kWh",498 kWh
1563,Morocco,2019,"6,720 kWh",279 kWh,"2,134 kWh","4,306 kWh",115 kWh,341 kWh,"6,720 kWh",548 kWh,92 kWh
1564,Netherlands,2019,"54,163 kWh","21,393 kWh","4,300 kWh","28,470 kWh",820 kWh,"1,739 kWh","54,163 kWh","4,105 kWh",11 kWh
1565,New Zealand,2019,"33,690 kWh","9,688 kWh","3,445 kWh","20,558 kWh",68 kWh,"1,199 kWh","33,690 kWh","19,569 kWh","13,607 kWh"
1566,North Macedonia,2019,"12,999 kWh","1,343 kWh","5,633 kWh","6,023 kWh",29 kWh,127 kWh,"12,999 kWh","1,690 kWh","1,451 kWh"
1567,Norway,2019,"30,739 kWh","8,554 kWh","1,697 kWh","20,489 kWh",52 kWh,"2,723 kWh","30,739 kWh","65,653 kWh","61,751 kWh"
1568,Oman,2019,"81,056 kWh","54,308 kWh",212 kWh,"26,537 kWh",9 kWh,5 kWh,"81,056 kWh",,
1569,Pakistan,2019,"3,815 kWh","1,992 kWh",701 kWh,"1,122 kWh",8 kWh,37 kWh,"3,815 kWh",481 kWh,427 kWh
1570,Peru,2019,"7,041 kWh","2,502 kWh",249 kWh,"4,290 kWh",67 kWh,133 kWh,"7,041 kWh","2,908 kWh","2,527 kWh"
1571,Philippines,2019,"4,528 kWh",382 kWh,"1,842 kWh","2,304 kWh",30 kWh,25 kWh,"4,528 kWh",577 kWh,192 kWh
1572,Poland,2019,"28,627 kWh","5,427 kWh","13,407 kWh","9,793 kWh",49 kWh,"1,034 kWh","28,627 kWh","2,151 kWh",134 kWh
1573,Portugal,2019,"20,959 kWh","5,962 kWh","1,411 kWh","13,586 kWh",344 kWh,"3,501 kWh","20,959 kWh","7,509 kWh","2,259 kWh"
1574,Qatar,2019,"207,880 kWh","149,159 kWh",147 kWh,"58,574 kWh",8 kWh,0 kWh,"207,880 kWh",,
1575,Romania,2019,"14,817 kWh","5,519 kWh","2,959 kWh","6,338 kWh",240 kWh,914 kWh,"14,817 kWh","3,561 kWh","2,104 kWh"
1576,Russia,2019,"50,299 kWh","30,486 kWh","6,798 kWh","13,015 kWh",18 kWh,6 kWh,"50,299 kWh","3,560 kWh","3,516 kWh"
1577,Saudi Arabia,2019,"82,974 kWh","31,024 kWh",33 kWh,"51,917 kWh",15 kWh,0 kWh,"82,974 kWh",,
1578,Singapore,2019,"158,157 kWh","21,391 kWh",908 kWh,"135,858 kWh",87 kWh,0 kWh,"158,157 kWh",,
1579,Slovakia,2019,"23,097 kWh","8,713 kWh","5,762 kWh","8,621 kWh",285 kWh,3 kWh,"23,097 kWh","3,708 kWh","2,105 kWh"
1580,Slovenia,2019,"24,056 kWh","4,055 kWh","5,771 kWh","14,230 kWh",378 kWh,8 kWh,"24,056 kWh","6,881 kWh","5,588 kWh"
1581,South Africa,2019,"24,341 kWh",734 kWh,"17,986 kWh","5,622 kWh",222 kWh,301 kWh,"24,341 kWh",593 kWh,34 kWh
1582,South Korea,2019,"57,963 kWh","10,817 kWh","18,442 kWh","28,704 kWh",722 kWh,136 kWh,"57,963 kWh","1,809 kWh",142 kWh
1583,Spain,2019,"24,770 kWh","7,633 kWh","1,251 kWh","15,886 kWh",845 kWh,"2,969 kWh","24,770 kWh","5,867 kWh","1,258 kWh"
1584,Sri Lanka,2019,,,753 kWh,"3,514 kWh",61 kWh,42 kWh,,707 kWh,586 kWh
1585,Sweden,2019,"19,253 kWh",994 kWh,"2,226 kWh","16,034 kWh",170 kWh,"5,095 kWh","19,253 kWh","27,740 kWh","16,763 kWh"
1586,Switzerland,2019,"18,482 kWh","3,972 kWh",123 kWh,"14,387 kWh",669 kWh,45 kWh,"18,482 kWh","13,218 kWh","11,568 kWh"
1587,Taiwan,2019,"51,572 kWh","9,782 kWh","19,521 kWh","22,269 kWh",445 kWh,210 kWh,"51,572 kWh","1,537 kWh",615 kWh
1588,Thailand,2019,"19,306 kWh","7,144 kWh","2,783 kWh","9,379 kWh",190 kWh,136 kWh,"19,306 kWh","1,487 kWh",233 kWh
1589,Trinidad and Tobago,2019,"123,703 kWh","114,959 kWh",0 kWh,"8,744 kWh",10 kWh,0 kWh,"123,703 kWh",10 kWh,0 kWh
1590,Turkey,2019,"17,721 kWh","5,194 kWh","5,840 kWh","6,687 kWh",292 kWh,686 kWh,"17,721 kWh","4,252 kWh","2,805 kWh"
1591,Turkmenistan,2019,,"45,055 kWh",,"12,901 kWh",3 kWh,0 kWh,,4 kWh,1 kWh
1592,USSR,2019,,,,,,,,,
1593,Ukraine,2019,"16,177 kWh","6,401 kWh","6,859 kWh","2,917 kWh",175 kWh,120 kWh,"16,177 kWh",735 kWh,388 kWh
1594,United Arab Emirates,2019,"133,832 kWh","75,629 kWh","2,244 kWh","55,960 kWh","1,046 kWh",0 kWh,"133,832 kWh",,
1595,United Kingdom,2019,"25,448 kWh","11,632 kWh","1,034 kWh","12,782 kWh",490 kWh,"2,520 kWh","25,448 kWh","5,317 kWh",234 kWh
1596,United States,2019,"65,639 kWh","25,455 kWh","9,423 kWh","30,761 kWh",851 kWh,"2,356 kWh","65,639 kWh","7,404 kWh","2,251 kWh"
1597,Uzbekistan,2019,"15,694 kWh","13,524 kWh",634 kWh,"1,536 kWh",1 kWh,1 kWh,"15,694 kWh",518 kWh,517 kWh
1598,Venezuela,2019,"15,512 kWh","8,828 kWh",26 kWh,"6,658 kWh",0 kWh,5 kWh,"15,512 kWh","5,718 kWh","5,713 kWh"
1599,Vietnam,2019,"10,586 kWh","1,028 kWh","6,063 kWh","3,495 kWh",145 kWh,20 kWh,"10,586 kWh","2,000 kWh","1,831 kWh"
1600,Algeria,2020,"14,889 kWh","9,977 kWh",35 kWh,"4,877 kWh",41 kWh,0 kWh,"14,889 kWh",45 kWh,3 kWh
1601,Argentina,2020,"16,376 kWh","9,755 kWh",222 kWh,"6,399 kWh",78 kWh,549 kWh,"16,376 kWh","2,378 kWh","1,380 kWh"
1602,Australia,2020,"55,128 kWh","16,553 kWh","18,233 kWh","20,341 kWh","2,439 kWh","2,313 kWh","55,128 kWh","6,699 kWh","1,475 kWh"
1603,Austria,2020,"27,834 kWh","9,573 kWh","3,259 kWh","15,002 kWh",602 kWh,"2,002 kWh","27,834 kWh","17,195 kWh","12,382 kWh"
1604,Azerbaijan,2020,"17,463 kWh","12,024 kWh",0 kWh,"5,438 kWh",12 kWh,25 kWh,"17,463 kWh",341 kWh,273 kWh
1605,Bangladesh,2020,"2,713 kWh","1,787 kWh",313 kWh,613 kWh,6 kWh,0 kWh,"2,713 kWh",17 kWh,11 kWh
