Country,Year,Fossil fuels (TWh),Coal (TWh),Oil (TWh),Gas (TWh),Renewables (TWh),Hydropower (TWh),Solar (TWh),Wind (TWh)
Belgium,2017,558.0,36.07,357.47,164.11,51.0,1.0,9.0,17.0
Brazil,2017,1946.0,195.27,1374.22,376.32,1477.0,987.0,2.0,113.0
Bulgaria,2017,160.0,71.0,56.92,32.14,18.0,8.0,4.0,4.0
Canada,2017,2580.0,221.6,1260.57,1097.82,1203.0,1050.0,10.0,84.0
Chile,2017,350.0,89.69,204.0,56.15,101.0,57.0,10.0,10.0
China,2017,31511.0,21915.44,7183.17,2412.52,4505.0,3101.0,314.0,811.0
Colombia,2017,383.0,48.43,216.45,118.31,167.0,153.0,0.0,0.0
Croatia,2017,76.0,4.56,42.0,29.0,19.0,14.0,0.0,3.0
Cyprus,2017,1570.7,0.03,31.28,411.3,184.7,123.4,0.0,1.0
Czechia,2017,386.0,187.28,115.3,83.75,32.0,5.0,6.0,2.0
Denmark,2017,135.0,18.37,84.35,32.16,64.0,0.0,2.0,39.0
Ecuador,2017,139.0,0.09,130.87,8.23,55.0,53.0,0.0,0.0
Egypt,2017,1025.0,13.95,451.36,559.34,41.0,34.0,2.0,6.0
Estonia,2017,73.0,50.3,17.7,4.89,6.0,0.0,0.0,2.0
Finland,2017,176.0,46.65,110.74,18.32,94.0,39.0,0.0,13.0
France,2017,1437.0,106.46,883.07,447.66,280.0,130.0,24.0,65.0
Germany,2017,3065.0,835.93,1352.04,877.38,632.0,54.0,103.0,281.0
Greece,2017,283.0,55.78,173.99,53.57,39.0,11.0,11.0,15.0
Hong Kong,2017,359.0,72.97,254.96,31.16,0.0,0.0,0.0,0.0
Hungary,2017,216.0,26.14,90.4,99.34,12.0,1.0,1.0,2.0
Iceland,2017,1570.7,1.33,12.11,411.3,51.0,37.0,0.0,0.0
India,2017,7845.0,4737.16,2571.9,536.0,654.0,361.0,57.0,140.0
Indonesia,2017,1846.0,566.11,847.52,432.15,108.0,50.0,0.0,0.0
Iran,2017,2921.0,11.98,859.29,2050.04,47.0,46.0,0.0,1.0
Iraq,2017,592.0,0.0,477.68,114.27,6.0,6.0,0.0,0.0
Ireland,2017,157.0,20.86,85.46,50.19,26.0,2.0,0.0,20.0
Israel,2017,282.0,58.19,124.57,98.94,5.0,0.0,4.0,0.0
Italy,2017,1541.0,111.9,713.69,715.79,302.0,96.0,65.0,47.0
Japan,2017,4756.0,1415.96,2169.76,1169.86,463.0,211.0,144.0,16.0
Kazakhstan,2017,746.0,407.12,171.31,167.26,31.0,30.0,0.0,1.0
Kuwait,2017,451.0,1.96,238.53,210.28,184.7,123.4,0.0,0.0
Latvia,2017,34.0,0.48,21.38,11.96,15.0,12.0,0.0,0.0
Lithuania,2017,61.0,2.3,36.32,22.29,8.0,2.0,0.0,4.0
Luxembourg,2017,41.0,0.55,32.78,8.06,3.0,0.0,0.0,1.0
Malaysia,2017,1109.0,241.41,417.3,450.44,79.0,71.0,1.0,0.0
Mexico,2017,2128.0,176.75,1090.53,860.34,140.0,85.0,3.0,28.0
Morocco,2017,221.0,51.78,157.8,11.88,12.0,3.0,1.0,8.0
Netherlands,2017,990.0,106.97,520.25,362.78,53.0,0.0,6.0,28.0
New Zealand,2017,164.0,14.54,99.15,49.92,96.0,67.0,0.0,6.0
North Macedonia,2017,26.0,11.14,12.19,2.63,3.0,3.0,0.0,0.0
Norway,2017,166.0,9.51,110.46,45.95,393.0,379.0,0.0,8.0
Oman,2017,353.0,0.88,118.94,233.51,184.7,123.4,0.0,0.0
Pakistan,2017,830.0,83.12,339.49,407.4,90.0,80.0,2.0,5.0
Peru,2017,216.0,8.72,132.51,74.92,87.0,77.0,1.0,3.0
Philippines,2017,466.0,179.97,248.18,37.74,67.0,26.0,3.0,3.0
Poland,2017,1131.0,578.88,360.56,191.8,75.0,7.0,0.0,40.0
Portugal,2017,237.0,37.76,135.99,63.39,65.0,16.0,3.0,33.0
Qatar,2017,561.0,0.33,148.07,412.2,184.7,123.4,0.0,0.0
Romania,2017,292.0,62.51,116.11,112.9,68.0,39.0,5.0,20.0
Russia,2017,7126.0,976.11,1839.02,4311.01,497.0,493.0,1.0,0.0
Saudi Arabia,2017,3182.0,1.34,2087.79,1092.5,184.7,123.4,0.0,0.0
Singapore,2017,947.0,10.45,813.87,122.88,184.7,123.4,0.0,0.0
Slovakia,2017,136.0,38.87,49.12,48.11,20.0,12.0,1.0,0.0
Slovenia,2017,53.0,13.19,30.69,8.62,12.0,10.0,1.0,0.0
South Africa,2017,1405.0,1032.94,331.5,40.11,34.0,2.0,11.0,19.0
South Korea,2017,3004.0,1002.24,1504.57,497.56,63.0,7.0,21.0,6.0
Spain,2017,1208.0,156.41,733.99,317.12,252.0,49.0,38.0,131.0
Sri Lanka,2017,1570.7,15.8,73.33,411.3,13.0,11.0,1.0,1.0
Sweden,2017,193.0,22.97,160.91,9.62,277.0,173.0,1.0,47.0
Switzerland,2017,162.0,1.28,125.24,35.0,103.0,91.0,4.0,0.0
Taiwan,2017,1264.0,471.06,560.45,232.45,29.0,14.0,4.0,5.0
Thailand,2017,1358.0,208.86,648.61,500.84,78.0,12.0,12.0,3.0
Trinidad and Tobago,2017,209.0,0.0,25.78,183.49,0.0,0.0,0.0,0.0
Turkey,2017,1551.0,458.91,576.15,515.68,237.0,155.0,8.0,48.0
Turkmenistan,2017,1570.7,511.6,78.41,247.59,0.0,0.0,0.0,0.0
Ukraine,2017,727.0,299.55,125.79,301.91,30.0,24.0,2.0,3.0
United Arab Emirates,2017,1228.0,24.76,531.08,671.85,184.7,123.4,2.0,0.0
United Kingdom,2017,1782.0,114.23,882.49,785.49,291.0,16.0,30.0,132.0
United States,2017,21310.0,3852.59,10057.77,7399.92,2345.0,790.0,208.0,684.0
Uzbekistan,2017,511.0,16.49,46.23,447.82,21.0,21.0,0.0,0.0
Venezuela,2017,664.0,0.95,277.26,386.05,187.0,186.0,0.0,0.0
Vietnam,2017,734.0,329.92,308.5,95.21,234.0,233.0,0.0,1.0
Algeria,2018,668.0,5.82,227.79,434.09,2.0,0.0,2.0,0.0
Argentina,2018,855.0,13.71,354.63,487.02,112.0,85.0,0.0,4.0
Australia,2018,1491.0,508.88,610.11,371.91,135.0,46.0,33.0,43.0
Austria,2018,267.0,32.28,148.18,86.87,141.0,100.0,4.0,16.0
Azerbaijan,2018,166.0,0.01,58.12,108.16,5.0,5.0,0.0,0.0
Bangladesh,2018,427.0,28.57,124.59,274.29,3.0,2.0,1.0,0.0
Belarus,2018,305.0,14.69,97.5,193.14,2.0,1.0,0.0,0.0
Belgium,2018,588.0,35.87,383.16,168.74,54.0,1.0,10.0,20.0
Brazil,2018,1857.0,190.98,1307.22,358.91,1579.0,1029.0,9.0,128.0
Bulgaria,2018,150.0,63.45,56.66,30.23,28.0,14.0,4.0,3.0
Canada,2018,2644.0,181.72,1300.69,1162.04,1178.0,1021.0,10.0,89.0
Chile,2018,354.0,86.56,211.4,56.37,114.0,62.0,14.0,9.0
China,2018,32726.0,22352.15,7534.66,2839.26,4941.0,3172.0,468.0,968.0
Colombia,2018,392.0,45.46,219.65,127.3,166.0,150.0,0.0,0.0
Croatia,2018,72.0,4.25,40.7,26.66,27.0,20.0,0.0,4.0
Cyprus,2018,1570.7,0.16,30.94,411.3,184.7,123.4,1.0,1.0
Czechia,2018,382.0,186.01,116.11,79.83,31.0,4.0,6.0,2.0
Denmark,2018,136.0,18.77,85.59,31.21,61.0,0.0,3.0,37.0
Ecuador,2018,149.0,0.32,141.7,7.27,57.0,55.0,0.0,0.0
Egypt,2018,1024.0,25.39,402.26,595.95,44.0,34.0,1.0,8.0
Estonia,2018,72.0,49.14,17.47,5.0,6.0,0.0,0.0,2.0
Finland,2018,180.0,48.88,110.15,21.01,96.0,35.0,0.0,15.0
France,2018,1404.0,95.26,880.22,428.38,333.0,169.0,28.0,75.0
Germany,2018,2952.0,806.69,1286.68,858.51,650.0,47.0,117.0,291.0
Greece,2018,279.0,54.77,171.97,52.45,45.0,15.0,10.0,17.0
Hong Kong,2018,363.0,74.94,258.11,30.17,0.0,0.0,0.0,0.0
Hungary,2018,218.0,24.7,96.89,96.22,13.0,1.0,2.0,2.0
Iceland,2018,1570.7,1.33,13.11,411.3,52.0,37.0,0.0,0.0
India,2018,8250.0,4981.6,2688.06,579.96,733.0,370.0,96.0,160.0
Indonesia,2018,1975.0,655.73,874.4,445.29,168.0,57.0,0.0,1.0
Iran,2018,3041.0,15.85,899.01,2126.43,29.0,26.0,1.0,2.0
Iraq,2018,599.0,0.0,452.86,146.0,6.0,5.0,1.0,0.0
Ireland,2018,157.0,16.41,88.73,52.11,29.0,2.0,0.0,23.0
Israel,2018,286.0,54.78,125.86,105.23,6.0,0.0,5.0,0.0
Italy,2018,1525.0,102.57,730.33,692.14,329.0,129.0,60.0,47.0
Japan,2018,4643.0,1386.6,2099.7,1157.08,496.0,215.0,164.0,17.0
Kazakhstan,2018,774.0,423.42,184.1,166.71,29.0,27.0,0.0,1.0
Kuwait,2018,462.0,2.2,247.83,211.52,184.7,123.4,0.0,0.0
Latvia,2018,33.0,0.56,19.07,13.72,10.0,6.0,0.0,0.0
Lithuania,2018,64.0,2.46,38.74,22.39,7.0,1.0,0.0,3.0
Luxembourg,2018,43.0,0.49,34.68,7.95,3.0,0.0,0.0,1.0
Malaysia,2018,1129.0,258.94,423.14,446.78,81.0,70.0,2.0,0.0
Mexico,2018,2081.0,157.55,1021.21,902.74,150.0,86.0,8.0,33.0
Morocco,2018,225.0,59.89,154.05,10.72,17.0,4.0,3.0,10.0
Netherlands,2018,958.0,96.11,506.29,355.58,59.0,0.0,10.0,28.0
New Zealand,2018,160.0,15.67,99.47,45.02,98.0,69.0,0.0,5.0
North Macedonia,2018,24.0,10.05,11.69,2.43,5.0,5.0,0.0,0.0
Norway,2018,167.0,9.29,113.59,44.36,383.0,368.0,0.0,10.0
Oman,2018,376.0,0.87,124.87,249.96,184.7,123.4,0.0,0.0
Pakistan,2018,857.0,137.65,283.34,435.88,91.0,78.0,2.0,7.0
Peru,2018,225.0,7.87,136.59,80.25,94.0,81.0,2.0,4.0
Philippines,2018,480.0,190.14,249.29,40.89,67.0,25.0,3.0,3.0
Poland,2018,1148.0,579.18,369.84,199.26,71.0,5.0,1.0,34.0
Portugal,2018,225.0,31.67,135.26,57.99,83.0,33.0,3.0,33.0
Qatar,2018,560.0,0.47,152.41,407.13,184.7,123.4,0.0,0.0
Romania,2018,295.0,59.62,119.34,115.63,73.0,47.0,5.0,17.0
Russia,2018,7413.0,1007.86,1860.35,4544.99,509.0,504.0,2.0,1.0
Saudi Arabia,2018,3101.0,1.11,1979.13,1121.0,184.7,123.4,0.0,0.0
Singapore,2018,948.0,5.55,819.63,122.86,184.7,123.4,0.0,0.0
Slovakia,2018,136.0,38.57,49.68,47.42,18.0,9.0,2.0,0.0
Slovenia,2018,53.0,12.9,31.54,8.53,15.0,12.0,1.0,0.0
South Africa,2018,1355.0,980.26,330.77,44.11,34.0,3.0,12.0,17.0
South Korea,2018,3085.0,1007.75,1499.7,578.04,81.0,9.0,27.0,7.0
Spain,2018,1197.0,134.02,748.06,314.97,298.0,91.0,34.0,135.0
Sri Lanka,2018,1570.7,15.27,71.02,411.3,19.0,17.0,1.0,1.0
Sweden,2018,187.0,23.03,153.67,10.17,264.0,164.0,1.0,44.0
Switzerland,2018,155.0,1.19,120.71,33.2,105.0,92.0,5.0,0.0
Taiwan,2018,1269.0,473.56,558.85,236.62,30.0,12.0,7.0,5.0
Thailand,2018,1385.0,222.67,661.83,500.2,97.0,20.0,12.0,4.0
Trinidad and Tobago,2018,198.0,0.0,24.33,173.75,0.0,0.0,0.0,0.0
Turkey,2018,1504.0,475.22,555.96,472.33,264.0,159.0,21.0,53.0
Turkmenistan,2018,1570.7,511.6,79.04,283.92,0.0,0.0,0.0,0.0
Ukraine,2018,763.0,326.28,130.71,305.69,35.0,28.0,3.0,3.0
United Arab Emirates,2018,1211.0,22.33,527.7,660.51,184.7,123.4,3.0,0.0
United Kingdom,2018,1753.0,96.79,870.86,785.66,325.0,14.0,34.0,151.0
United States,2018,22209.0,3689.46,10299.73,8219.63,2399.0,766.0,250.0,729.0
Uzbekistan,2018,518.0,23.62,50.44,443.98,16.0,16.0,0.0,0.0
Venezuela,2018,545.0,0.38,228.78,316.19,173.0,173.0,0.0,0.0
Vietnam,2018,861.0,439.51,324.53,96.6,226.0,224.0,0.0,1.0
Algeria,2019,692.0,4.8,236.95,450.55,2.0,0.0,2.0,0.0
Argentina,2019,796.0,8.12,321.83,465.59,110.0,73.0,2.0,13.0
Australia,2019,1531.0,486.39,604.19,440.57,149.0,37.0,48.0,51.0
Austria,2019,277.0,33.94,153.58,89.0,152.0,108.0,4.0,20.0
Azerbaijan,2019,175.0,0.01,56.82,117.89,5.0,4.0,0.0,0.0
Bangladesh,2019,480.0,48.06,122.23,309.34,3.0,2.0,1.0,0.0
Belarus,2019,306.0,15.47,99.36,191.64,2.0,1.0,0.0,0.0
Belgium,2019,569.0,35.96,358.85,173.87,60.0,1.0,11.0,26.0
Brazil,2019,1838.0,179.51,1301.59,357.33,1654.0,1049.0,18.0,148.0
Bulgaria,2019,147.0,59.15,59.42,28.31,23.0,8.0,4.0,3.0
Canada,2019,2636.0,170.18,1297.28,1168.62,1161.0,1006.0,11.0,87.0
Chile,2019,363.0,87.08,210.55,65.13,111.0,57.0,17.0,13.0
China,2019,33921.0,22922.24,7915.18,3083.77,5403.0,3354.0,590.0,1068.0
Colombia,2019,402.0,53.64,219.41,128.71,161.0,143.0,0.0,0.0
Croatia,2019,73.0,4.9,39.72,27.98,23.0,15.0,0.0,4.0
Cyprus,2019,1570.7,0.19,30.79,411.3,184.7,123.4,1.0,1.0
Czechia,2019,368.0,167.36,117.6,83.25,33.0,5.0,6.0,2.0
Denmark,2019,125.0,10.58,85.66,28.98,67.0,0.0,3.0,43.0
Ecuador,2019,144.0,0.1,137.31,6.5,67.0,65.0,0.0,0.0
Egypt,2019,994.0,22.94,380.2,590.39,54.0,37.0,4.0,13.0
Estonia,2019,56.0,35.81,15.59,4.66,7.0,0.0,0.0,2.0
Finland,2019,171.0,41.05,109.33,20.34,96.0,33.0,0.0,16.0
France,2019,1384.0,74.54,872.81,436.62,333.0,148.0,31.0,91.0
Germany,2019,2812.0,624.22,1294.74,892.83,696.0,52.0,119.0,332.0
Greece,2019,272.0,37.18,177.2,57.58,45.0,11.0,12.0,19.0
Hong Kong,2019,344.0,71.77,241.28,31.16,1.0,0.0,0.0,0.0
Hungary,2019,218.0,21.39,97.93,98.44,16.0,1.0,4.0,2.0
Iceland,2019,1570.7,1.31,11.1,411.3,51.0,35.0,0.0,0.0
India,2019,8357.0,4989.02,2775.68,592.5,839.0,427.0,122.0,167.0
Indonesia,2019,2093.0,801.23,852.24,439.99,191.0,56.0,0.0,1.0
Iran,2019,3149.0,18.93,946.34,2183.9,93.0,89.0,1.0,2.0
Iraq,2019,627.0,0.0,432.34,194.92,14.0,13.0,1.0,0.0
Ireland,2019,154.0,11.74,88.72,53.16,34.0,2.0,0.0,26.0
Israel,2019,293.0,57.9,127.13,107.72,9.0,0.0,8.0,0.0
Italy,2019,1494.0,77.53,709.05,707.91,325.0,122.0,62.0,53.0
Japan,2019,4478.0,1362.59,2033.96,1081.23,497.0,194.0,179.0,18.0
Kazakhstan,2019,785.0,400.92,186.8,197.04,29.0,26.0,1.0,2.0
Kuwait,2019,420.0,2.02,234.27,183.73,184.7,123.4,0.0,0.0
Latvia,2019,35.0,0.48,21.9,13.12,9.0,6.0,0.0,0.0
Lithuania,2019,63.0,2.31,39.04,21.57,8.0,1.0,0.0,4.0
Luxembourg,2019,44.0,0.53,35.06,7.96,4.0,0.0,0.0,1.0
Malaysia,2019,1157.0,244.73,459.97,452.15,84.0,69.0,4.0,0.0
Mexico,2019,2056.0,150.41,972.06,933.89,155.0,62.0,26.0,44.0
Morocco,2019,244.0,77.49,156.34,10.13,20.0,3.0,4.0,12.0
Netherlands,2019,940.0,74.67,494.33,371.44,71.0,0.0,14.0,30.0
New Zealand,2019,167.0,17.08,101.95,48.04,97.0,67.0,0.0,6.0
North Macedonia,2019,27.0,11.91,12.73,2.84,4.0,3.0,0.0,0.0
Norway,2019,164.0,9.07,109.58,45.75,351.0,330.0,0.0,15.0
Oman,2019,373.0,0.98,122.14,249.97,184.7,123.4,0.0,0.0
Pakistan,2019,852.0,156.56,250.63,444.73,107.0,95.0,2.0,8.0
Peru,2019,231.0,8.19,140.83,82.11,95.0,83.0,2.0,4.0
Philippines,2019,500.0,203.31,254.3,42.16,64.0,21.0,3.0,3.0
Poland,2019,1102.0,516.08,376.98,208.89,83.0,5.0,2.0,40.0
Portugal,2019,216.0,14.52,139.8,61.35,77.0,23.0,4.0,36.0
Qatar,2019,584.0,0.41,164.43,418.73,184.7,123.4,0.0,0.0
Romania,2019,289.0,57.78,123.75,107.75,70.0,41.0,5.0,18.0
Russia,2019,7331.0,990.76,1896.77,4443.13,519.0,512.0,3.0,1.0
Saudi Arabia,2019,2973.0,1.17,1860.05,1111.5,184.7,123.4,1.0,0.0
Singapore,2019,928.0,5.33,797.0,125.49,184.7,123.4,1.0,0.0
Slovakia,2019,126.0,31.43,47.02,47.52,20.0,11.0,2.0,0.0
Slovenia,2019,51.0,12.19,30.07,8.57,15.0,12.0,1.0,0.0
South Africa,2019,1414.0,1044.75,326.56,42.61,34.0,2.0,13.0,17.0
South Korea,2019,3003.0,955.37,1486.99,560.34,94.0,7.0,37.0,7.0
Spain,2019,1167.0,58.98,748.73,359.74,277.0,59.0,40.0,140.0
Sri Lanka,2019,1570.7,16.3,76.08,411.3,15.0,13.0,1.0,1.0
Sweden,2019,198.0,22.85,164.63,10.2,285.0,172.0,2.0,52.0
Switzerland,2019,158.0,1.06,123.38,34.06,113.0,99.0,6.0,0.0
Taiwan,2019,1226.0,464.16,529.5,232.6,37.0,15.0,11.0,5.0
Thailand,2019,1377.0,198.45,668.8,509.4,106.0,17.0,14.0,10.0
Trinidad and Tobago,2019,188.0,0.0,13.29,174.73,0.0,0.0,0.0,0.0
Turkey,2019,1479.0,487.53,558.26,433.61,355.0,234.0,24.0,57.0
Turkmenistan,2019,1570.7,511.6,79.45,277.47,0.0,0.0,0.0,0.0
Ukraine,2019,715.0,303.26,128.97,282.98,33.0,17.0,8.0,5.0
United Arab Emirates,2019,1233.0,20.67,515.48,696.67,184.7,123.4,10.0,0.0
United Kingdom,2019,1699.0,69.04,853.57,776.78,355.0,16.0,33.0,168.0
United States,2019,21944.0,3150.46,10283.93,8510.0,2475.0,752.0,285.0,788.0
Uzbekistan,2019,518.0,20.91,50.64,445.98,17.0,17.0,0.0,0.0
Venezuela,2019,449.0,0.75,192.91,255.76,166.0,166.0,0.0,0.0
Vietnam,2019,1014.0,580.66,334.76,98.43,192.0,175.0,14.0,2.0
Algeria,2020,647.0,1.52,211.93,433.5,2.0,0.0,2.0,0.0
Argentina,2020,738.0,10.02,288.2,439.31,107.0,62.0,4.0,25.0
Australia,2020,1415.0,468.04,522.16,424.93,172.0,38.0,63.0,59.0
Austria,2020,248.0,29.03,133.63,85.27,153.0,110.0,5.0,18.0
Azerbaijan,2020,180.0,0.0,55.93,123.67,4.0,3.0,0.0,0.0
Bangladesh,2020,454.0,52.35,102.68,299.15,3.0,2.0,1.0,0.0
Belarus,2020,283.0,9.73,95.69,177.51,3.0,1.0,0.0,0.0
Belgium,2020,505.0,27.96,307.18,169.98,72.0,1.0,13.0,34.0
Brazil,2020,1706.0,163.13,1228.75,314.24,1653.0,1041.0,28.0,150.0
Bulgaria,2020,131.0,48.34,53.38,29.21,23.0,7.0,4.0,4.0
Canada,2020,2388.0,148.41,1103.03,1136.41,1174.0,1015.0,11.0,94.0
Chile,2020,328.0,73.15,192.56,62.35,114.0,57.0,20.0,15.0
China,2020,34753.0,23402.55,7984.45,3366.17,5838.0,3471.0,686.0,1225.0
Colombia,2020,364.0,47.48,185.18,131.23,149.0,131.0,1.0,0.0
Croatia,2020,68.0,4.2,34.05,29.37,24.0,15.0,0.0,5.0
Cyprus,2020,1570.7,0.16,26.23,411.3,184.7,123.4,1.0,1.0
Czechia,2020,333.0,145.44,102.48,84.62,34.0,6.0,6.0,2.0
Denmark,2020,103.0,9.31,70.73,23.23,68.0,0.0,3.0,43.0
Ecuador,2020,117.0,0.28,110.83,5.52,66.0,64.0,0.0,0.0
Egypt,2020,919.0,8.73,327.34,583.08,65.0,39.0,12.0,14.0
Estonia,2020,50.0,29.11,16.43,4.3,9.0,0.0,0.0,2.0
Finland,2020,150.0,31.48,98.08,20.72,104.0,42.0,1.0,21.0
France,2020,1203.0,52.28,744.66,405.83,360.0,162.0,34.0,104.0
Germany,2020,2558.0,514.87,1172.28,871.07,727.0,48.0,130.0,347.0
Greece,2020,228.0,21.29,143.46,63.43,49.0,9.0,12.0,24.0
Hong Kong,2020,257.0,38.23,169.68,49.44,1.0,0.0,0.0,0.0
Hungary,2020,211.0,19.59,89.38,101.93,19.0,1.0,6.0,2.0
Iceland,2020,1570.7,0.0,7.31,411.3,50.0,35.0,0.0,0.0
India,2020,7839.0,4714.67,2520.25,603.6,870.0,430.0,154.0,159.0
Indonesia,2020,1891.0,765.38,750.04,375.18,222.0,64.0,0.0,1.0
Iran,2020,3297.0,21.42,908.09,2367.67,66.0,61.0,2.0,3.0
Iraq,2020,1570.7,511.6,356.29,184.87,12.0,11.0,1.0,0.0
Ireland,2020,138.0,10.06,75.18,53.08,38.0,2.0,0.0,30.0
Israel,2020,273.0,50.47,109.86,112.98,12.0,0.0,11.0,0.0
Italy,2020,1321.0,59.25,585.49,676.25,331.0,125.0,66.0,49.0
Japan,2020,4118.0,1270.75,1806.01,1041.28,537.0,203.0,197.0,21.0
Kazakhstan,2020,720.0,379.29,164.21,176.56,31.0,25.0,3.0,3.0
Kuwait,2020,397.0,0.36,217.71,179.14,184.7,123.4,0.0,0.0
Latvia,2020,30.0,0.28,19.21,10.73,11.0,7.0,0.0,0.0
Lithuania,2020,62.0,1.8,36.59,23.6,8.0,1.0,0.0,4.0
Luxembourg,2020,36.0,0.45,28.42,7.23,4.0,0.0,0.0,1.0
Malaysia,2020,1104.0,288.09,379.55,436.14,91.0,73.0,5.0,0.0
Mexico,2020,1850.0,66.49,838.37,945.19,186.0,71.0,42.0,52.0
Morocco,2020,222.0,77.8,136.37,7.87,18.0,2.0,4.0,12.0
Netherlands,2020,878.0,47.81,469.78,360.5,100.0,0.0,23.0,40.0
New Zealand,2020,146.0,16.41,84.16,45.73,94.0,64.0,0.0,6.0
North Macedonia,2020,23.0,8.17,11.74,3.25,4.0,3.0,0.0,0.0
Norway,2020,157.0,8.98,104.11,44.11,402.0,370.0,0.0,26.0
Oman,2020,358.0,1.12,97.99,259.16,184.7,123.4,1.0,0.0
Pakistan,2020,837.0,181.75,243.72,411.6,116.0,105.0,2.0,7.0
Peru,2020,185.0,5.95,107.5,71.3,94.0,80.0,2.0,5.0
Philippines,2020,451.0,204.06,208.2,38.43,61.0,19.0,4.0,3.0
Poland,2020,1046.0,478.41,357.0,210.65,88.0,6.0,5.0,41.0
Portugal,2020,181.0,6.58,114.37,60.37,84.0,32.0,5.0,32.0
Qatar,2020,508.0,0.07,122.6,385.0,184.7,123.4,0.0,0.0
Romania,2020,271.0,41.72,116.17,112.63,70.0,40.0,5.0,18.0
Russia,2020,6961.0,914.23,1811.98,4234.83,570.0,558.0,5.0,3.0
Saudi Arabia,2020,2890.0,1.03,1758.84,1130.5,184.7,123.4,1.0,0.0
Singapore,2020,909.0,5.04,777.65,125.98,184.7,123.4,1.0,0.0
Slovakia,2020,121.0,26.94,46.98,47.55,21.0,12.0,2.0,0.0
Slovenia,2020,45.0,11.74,25.17,8.55,16.0,13.0,1.0,0.0
South Africa,2020,1323.0,1015.7,267.77,39.71,38.0,4.0,15.0,17.0
South Korea,2020,2821.0,840.16,1405.68,575.37,109.0,10.0,51.0,8.0
Spain,2020,974.0,34.39,615.08,324.9,318.0,80.0,54.0,148.0
Sri Lanka,2020,1570.7,19.58,69.89,411.3,16.0,13.0,2.0,1.0
Sweden,2020,176.0,18.93,146.98,9.92,316.0,190.0,3.0,72.0
Switzerland,2020,137.0,1.02,102.92,33.15,114.0,98.0,7.0,0.0
Taiwan,2020,1191.0,433.83,508.67,248.84,36.0,8.0,16.0,6.0
Thailand,2020,1281.0,212.18,599.84,468.53,99.0,12.0,13.0,8.0
Trinidad and Tobago,2020,165.0,0.0,13.3,151.86,0.0,0.0,0.0,0.0
Turkey,2020,1460.0,472.37,525.18,462.1,344.0,205.0,29.0,65.0
Turkmenistan,2020,1570.7,511.6,80.14,342.53,0.0,0.0,0.0,0.0
Ukraine,2020,681.0,265.71,121.78,293.39,46.0,20.0,14.0,9.0
United Arab Emirates,2020,1153.0,24.81,481.06,647.29,184.7,123.4,14.0,0.0
United Kingdom,2020,1452.0,63.38,657.66,731.34,394.0,18.0,34.0,199.0
United States,2020,19917.0,2556.18,9032.4,8328.87,2590.0,743.0,347.0,896.0
Uzbekistan,2020,519.0,28.66,54.11,435.84,13.0,13.0,0.0,0.0
Venezuela,2020,328.0,0.53,112.35,215.61,177.0,176.0,0.0,0.0
Vietnam,2020,980.0,609.74,282.36,88.39,224.0,193.0,29.0,3.0
Algeria,2021,701.0,3.11,221.16,477.01,2.0,0.0,2.0,0.0
Argentina,2021,831.0,14.05,358.1,459.34,109.0,51.0,6.0,34.0
Australia,2021,1387.0,452.44,535.7,399.09,205.0,42.0,82.0,70.0
Austria,2021,258.0,29.93,137.92,90.14,146.0,101.0,7.0,18.0
Azerbaijan,2021,192.0,0.0,63.47,128.17,4.0,3.0,0.0,0.0
Bangladesh,2021,476.0,42.31,127.86,305.96,3.0,2.0,2.0,0.0
Belarus,2021,288.0,9.9,90.81,187.62,3.0,1.0,0.0,0.0
Belgium,2021,542.0,30.95,341.0,169.61,70.0,1.0,15.0,31.0
Brazil,2021,1930.0,197.91,1327.64,404.46,1604.0,949.0,44.0,189.0
Bulgaria,2021,150.0,60.91,56.08,33.02,30.0,13.0,4.0,4.0
Canada,2021,2450.0,138.16,1142.54,1169.73,1162.0,1002.0,14.0,91.0
Chile,2021,361.0,81.11,211.37,68.23,116.0,47.0,28.0,20.0
China,2021,36319.0,24315.47,8200.55,3802.68,6531.0,3402.0,856.0,1716.0
Colombia,2021,396.0,31.46,238.47,126.27,178.0,158.0,1.0,0.0
Croatia,2021,69.0,4.83,35.99,28.25,29.0,19.0,0.0,5.0
Cyprus,2021,1570.7,0.48,27.05,411.3,184.7,123.4,1.0,1.0
Czechia,2021,354.0,150.81,112.96,90.69,35.0,6.0,6.0,2.0
Denmark,2021,112.0,12.4,75.79,23.69,76.0,0.0,3.0,42.0
Ecuador,2021,144.0,0.55,137.17,5.82,69.0,67.0,0.0,0.0
Egypt,2021,988.0,14.11,352.66,621.67,65.0,37.0,13.0,14.0
Estonia,2021,52.0,31.76,15.86,4.86,9.0,0.0,1.0,2.0
Finland,2021,146.0,33.97,91.67,20.78,114.0,41.0,1.0,21.0
France,2021,1304.0,63.31,810.63,430.41,354.0,154.0,40.0,96.0
Germany,2021,2700.0,621.93,1160.5,917.32,676.0,51.0,129.0,300.0
Greece,2021,242.0,19.91,152.0,69.8,61.0,15.0,14.0,27.0
Hong Kong,2021,243.0,42.46,151.85,48.25,1.0,0.0,0.0,0.0
Hungary,2021,221.0,15.95,97.12,108.1,23.0,1.0,10.0,2.0
Iceland,2021,1570.7,0.0,7.2,411.3,51.0,36.0,0.0,0.0
India,2021,8549.0,5359.93,2568.6,620.86,925.0,420.0,179.0,178.0
