Country,Year,Fossil fuels,Gas,Coal,Oil,Solar,Wind,Renewables,Hydropower
Indonesia,2001,"1,195 TWh",341.35 TWh,194.33 TWh,659.39 TWh,0 TWh,0 TWh,51 TWh,34 TWh
Iran,2001,"1,480 TWh",665.33 TWh,14.86 TWh,799.74 TWh,0 TWh,0 TWh,12 TWh,12 TWh
Iraq,2001,,26.22 TWh,,323.35 TWh,0 TWh,0 TWh,11 TWh,11 TWh
Ireland,2001,180 TWh,41.76 TWh,31.86 TWh,106.50 TWh,0 TWh,1 TWh,3 TWh,2 TWh
Israel,2001,227 TWh,0.10 TWh,83.97 TWh,143.09 TWh,0 TWh,0 TWh,0 TWh,0 TWh
Italy,2001,"1,938 TWh",680.65 TWh,154.70 TWh,"1,102.60 TWh",0 TWh,3 TWh,160 TWh,138 TWh
Japan,2001,"4,988 TWh",777.28 TWh,"1,137.15 TWh","3,073.68 TWh",1 TWh,1 TWh,292 TWh,240 TWh
Kazakhstan,2001,392 TWh,40.93 TWh,259.35 TWh,92.17 TWh,0 TWh,0 TWh,24 TWh,24 TWh
Kuwait,2001,214 TWh,90.25 TWh,0.00 TWh,124.05 TWh,0 TWh,0 TWh,,
Latvia,2001,32 TWh,13.24 TWh,1.43 TWh,17.65 TWh,0 TWh,0 TWh,8 TWh,8 TWh
Lithuania,2001,58 TWh,24.97 TWh,0.97 TWh,32.33 TWh,0 TWh,0 TWh,1 TWh,1 TWh
Luxembourg,2001,39 TWh,8.68 TWh,1.38 TWh,29.31 TWh,0 TWh,0 TWh,0 TWh,0 TWh
Malaysia,2001,606 TWh,277.10 TWh,34.53 TWh,294.54 TWh,0 TWh,0 TWh,20 TWh,18 TWh
Mexico,2001,"1,553 TWh",361.91 TWh,83.67 TWh,"1,107.01 TWh",0 TWh,0 TWh,102 TWh,84 TWh
Morocco,2001,124 TWh,0.44 TWh,39.69 TWh,83.64 TWh,0 TWh,1 TWh,3 TWh,3 TWh
Netherlands,2001,"1,024 TWh",418.19 TWh,96.11 TWh,509.72 TWh,0 TWh,2 TWh,10 TWh,0 TWh
New Zealand,2001,153 TWh,61.99 TWh,15.93 TWh,75.24 TWh,0 TWh,0 TWh,74 TWh,64 TWh
North Macedonia,2001,27 TWh,0.77 TWh,17.19 TWh,9.23 TWh,0 TWh,0 TWh,2 TWh,2 TWh
Norway,2001,170 TWh,39.26 TWh,10.29 TWh,120.64 TWh,0 TWh,0 TWh,355 TWh,354 TWh
Oman,2001,123 TWh,84.28 TWh,0.00 TWh,38.88 TWh,0 TWh,0 TWh,,
Pakistan,2001,433 TWh,189.54 TWh,24.48 TWh,218.72 TWh,0 TWh,0 TWh,57 TWh,54 TWh
Peru,2001,94 TWh,3.56 TWh,6.65 TWh,83.60 TWh,,0 TWh,52 TWh,52 TWh
Philippines,2001,250 TWh,1.34 TWh,52.45 TWh,196.63 TWh,0 TWh,0 TWh,50 TWh,21 TWh
Poland,2001,"1,002 TWh",120.68 TWh,646.41 TWh,235.08 TWh,0 TWh,0 TWh,8 TWh,7 TWh
Portugal,2001,251 TWh,25.75 TWh,36.92 TWh,188.42 TWh,0 TWh,1 TWh,47 TWh,41 TWh
Qatar,2001,,104.72 TWh,,24.25 TWh,0 TWh,0 TWh,,
Romania,2001,366 TWh,153.28 TWh,88.46 TWh,124.17 TWh,0 TWh,0 TWh,44 TWh,44 TWh
Russia,2001,"6,431 TWh","3,721.69 TWh","1,199.91 TWh","1,509.42 TWh",0 TWh,0 TWh,511 TWh,511 TWh
