Country,Year,Fossil fuels,Gas,Coal,Oil,Solar,Wind,Renewables,Hydropower
Israel,2008,263 TWh,36.10 TWh,91.87 TWh,134.59 TWh,0 TWh,0 TWh,0 TWh,0 TWh
Italy,2008,"1,939 TWh",808.52 TWh,183.70 TWh,946.61 TWh,1 TWh,14 TWh,173 TWh,117 TWh
Japan,2008,"5,101 TWh",990.99 TWh,"1,414.78 TWh","2,695.13 TWh",7 TWh,8 TWh,293 TWh,211 TWh
Kazakhstan,2008,617 TWh,85.56 TWh,392.95 TWh,138.68 TWh,0 TWh,0 TWh,21 TWh,21 TWh
Kuwait,2008,337 TWh,120.65 TWh,0.01 TWh,216.81 TWh,0 TWh,0 TWh,,
Latvia,2008,37 TWh,15.76 TWh,1.24 TWh,20.18 TWh,0 TWh,0 TWh,9 TWh,9 TWh
Lithuania,2008,68 TWh,30.19 TWh,2.46 TWh,35.37 TWh,0 TWh,0 TWh,2 TWh,1 TWh
Luxembourg,2008,48 TWh,12.71 TWh,0.87 TWh,34.85 TWh,0 TWh,0 TWh,1 TWh,0 TWh
Malaysia,2008,908 TWh,435.50 TWh,113.69 TWh,358.46 TWh,0 TWh,0 TWh,25 TWh,22 TWh
Mexico,2008,"1,993 TWh",599.97 TWh,117.55 TWh,"1,275.89 TWh",0 TWh,1 TWh,134 TWh,110 TWh
Morocco,2008,177 TWh,6.22 TWh,42.62 TWh,127.88 TWh,0 TWh,1 TWh,3 TWh,3 TWh
Netherlands,2008,"1,051 TWh",403.89 TWh,92.50 TWh,554.88 TWh,0 TWh,12 TWh,32 TWh,0 TWh
New Zealand,2008,151 TWh,39.05 TWh,24.47 TWh,87.22 TWh,0 TWh,3 TWh,79 TWh,63 TWh
North Macedonia,2008,30 TWh,1.13 TWh,17.34 TWh,11.09 TWh,0 TWh,0 TWh,2 TWh,2 TWh
Norway,2008,169 TWh,42.99 TWh,8.17 TWh,117.87 TWh,0 TWh,3 TWh,395 TWh,391 TWh
Oman,2008,201 TWh,133.80 TWh,0.01 TWh,66.97 TWh,0 TWh,0 TWh,,
Pakistan,2008,646 TWh,346.08 TWh,69.67 TWh,230.71 TWh,0 TWh,0 TWh,77 TWh,77 TWh
Peru,2008,139 TWh,32.69 TWh,10.73 TWh,95.09 TWh,,0 TWh,56 TWh,54 TWh
Philippines,2008,270 TWh,37.17 TWh,73.92 TWh,158.54 TWh,0 TWh,0 TWh,58 TWh,28 TWh
Poland,2008,"1,108 TWh",156.44 TWh,642.18 TWh,309.67 TWh,0 TWh,2 TWh,25 TWh,6 TWh
Portugal,2008,243 TWh,48.02 TWh,29.26 TWh,166.03 TWh,0 TWh,16 TWh,43 TWh,19 TWh
Qatar,2008,,206.98 TWh,,76.10 TWh,0 TWh,0 TWh,,
Romania,2008,373 TWh,141.41 TWh,109.89 TWh,121.23 TWh,0 TWh,0 TWh,50 TWh,48 TWh
Russia,2008,"7,010 TWh","4,227.48 TWh","1,171.35 TWh","1,611.65 TWh",0 TWh,0 TWh,464 TWh,463 TWh
Saudi Arabia,2008,"2,128 TWh",764.18 TWh,0.75 TWh,"1,363.54 TWh",0 TWh,0 TWh,,
Singapore,2008,676 TWh,87.14 TWh,0.06 TWh,588.78 TWh,0 TWh,0 TWh,,
Slovakia,2008,153 TWh,60.08 TWh,45.76 TWh,47.47 TWh,0 TWh,0 TWh,14 TWh,11 TWh
Slovenia,2008,64 TWh,10.21 TWh,17.63 TWh,36.38 TWh,0 TWh,0 TWh,13 TWh,11 TWh
South Africa,2008,"1,419 TWh",39.22 TWh,"1,085.50 TWh",294.21 TWh,0 TWh,0 TWh,6 TWh,4 TWh
South Korea,2008,"2,374 TWh",373.37 TWh,768.74 TWh,"1,232.24 TWh",1 TWh,1 TWh,15 TWh,9 TWh
Spain,2008,"1,458 TWh",405.92 TWh,157.05 TWh,895.17 TWh,7 TWh,93 TWh,179 TWh,66 TWh
Sri Lanka,2008,,,0.67 TWh,51.23 TWh,0 TWh,0 TWh,12 TWh,12 TWh
Sweden,2008,231 TWh,8.61 TWh,32.95 TWh,189.46 TWh,0 TWh,6 TWh,237 TWh,195 TWh
Switzerland,2008,181 TWh,32.65 TWh,1.82 TWh,146.14 TWh,0 TWh,0 TWh,105 TWh,101 TWh
Taiwan,2008,"1,122 TWh",127.66 TWh,442.01 TWh,552.10 TWh,0 TWh,2 TWh,20 TWh,12 TWh
Thailand,2008,"1,047 TWh",369.42 TWh,174.31 TWh,502.80 TWh,0 TWh,0 TWh,33 TWh,20 TWh
Trinidad and Tobago,2008,218 TWh,191.58 TWh,0.00 TWh,26.62 TWh,0 TWh,0 TWh,,
Turkey,2008,"1,081 TWh",352.98 TWh,344.20 TWh,384.22 TWh,0 TWh,2 TWh,97 TWh,93 TWh
Turkmenistan,2008,,78.92 TWh,,63.12 TWh,0 TWh,0 TWh,0 TWh,0 TWh
USSR,2008,,,,,,,,
Ukraine,2008,"1,286 TWh",627.47 TWh,486.11 TWh,172.89 TWh,0 TWh,0 TWh,33 TWh,32 TWh
United Arab Emirates,2008,938 TWh,579.72 TWh,3.99 TWh,354.69 TWh,0 TWh,0 TWh,,
United Kingdom,2008,"2,343 TWh",978.33 TWh,420.33 TWh,944.66 TWh,0 TWh,20 TWh,74 TWh,14 TWh
United States,2008,"22,796 TWh","6,288.91 TWh","6,233.05 TWh","10,273.69 TWh",5 TWh,157 TWh,"1,321 TWh",705 TWh
Uzbekistan,2008,517 TWh,441.31 TWh,11.63 TWh,63.92 TWh,0 TWh,0 TWh,12 TWh,12 TWh
Venezuela,2008,740 TWh,349.00 TWh,1.64 TWh,389.84 TWh,0 TWh,0 TWh,244 TWh,244 TWh
Vietnam,2008,384 TWh,72.37 TWh,138.26 TWh,173.38 TWh,0 TWh,0 TWh,73 TWh,73 TWh
Algeria,2009,448 TWh,262.12 TWh,5.65 TWh,180.13 TWh,0 TWh,0 TWh,1 TWh,1 TWh
Argentina,2009,730 TWh,418.36 TWh,9.62 TWh,302.03 TWh,0 TWh,0 TWh,101 TWh,97 TWh
Australia,2009,"1,450 TWh",291.36 TWh,654.86 TWh,504.14 TWh,1 TWh,12 TWh,59 TWh,35 TWh
Austria,2009,267 TWh,88.32 TWh,33.46 TWh,145.45 TWh,0 TWh,5 TWh,140 TWh,114 TWh
Azerbaijan,2009,124 TWh,85.82 TWh,0.05 TWh,38.54 TWh,0 TWh,0 TWh,6 TWh,6 TWh
Bangladesh,2009,242 TWh,187.47 TWh,13.61 TWh,41.34 TWh,0 TWh,0 TWh,1 TWh,1 TWh
Belarus,2009,282 TWh,169.32 TWh,7.18 TWh,105.51 TWh,0 TWh,0 TWh,1 TWh,0 TWh
Belgium,2009,571 TWh,175.74 TWh,34.35 TWh,360.92 TWh,0 TWh,3 TWh,18 TWh,1 TWh
Brazil,2009,"1,555 TWh",206.69 TWh,129.21 TWh,"1,218.80 TWh",0 TWh,3 TWh,"1,329 TWh","1,092 TWh"
Bulgaria,2009,151 TWh,24.26 TWh,73.79 TWh,52.83 TWh,0 TWh,1 TWh,10 TWh,10 TWh
Canada,2009,"2,392 TWh",897.28 TWh,280.08 TWh,"1,214.62 TWh",0 TWh,19 TWh,"1,086 TWh","1,030 TWh"
Chile,2009,273 TWh,27.95 TWh,46.46 TWh,198.60 TWh,0 TWh,0 TWh,81 TWh,70 TWh
China,2009,"25,088 TWh",902.24 TWh,"19,605.02 TWh","4,580.30 TWh",1 TWh,77 TWh,"1,884 TWh","1,719 TWh"
Colombia,2009,283 TWh,83.79 TWh,47.50 TWh,151.37 TWh,0 TWh,0 TWh,121 TWh,114 TWh
Croatia,2009,85 TWh,27.95 TWh,5.89 TWh,51.65 TWh,0 TWh,0 TWh,21 TWh,21 TWh
Cyprus,2009,,,0.14 TWh,34.59 TWh,0 TWh,0 TWh,,
Czechia,2009,404 TWh,79.13 TWh,211.58 TWh,113.18 TWh,0 TWh,1 TWh,16 TWh,7 TWh
Denmark,2009,185 TWh,45.83 TWh,46.80 TWh,92.41 TWh,0 TWh,19 TWh,30 TWh,0 TWh
Ecuador,2009,113 TWh,5.88 TWh,0.07 TWh,107.39 TWh,0 TWh,0 TWh,26 TWh,26 TWh
Egypt,2009,820 TWh,409.45 TWh,7.20 TWh,403.66 TWh,0 TWh,3 TWh,41 TWh,38 TWh
Estonia,2009,57 TWh,6.11 TWh,34.97 TWh,15.99 TWh,0 TWh,1 TWh,2 TWh,0 TWh
Finland,2009,213 TWh,37.38 TWh,62.49 TWh,112.83 TWh,0 TWh,1 TWh,66 TWh,35 TWh
France,2009,"1,588 TWh",447.31 TWh,125.03 TWh,"1,015.34 TWh",0 TWh,22 TWh,224 TWh,159 TWh
Germany,2009,"3,018 TWh",844.30 TWh,834.29 TWh,"1,339.84 TWh",19 TWh,110 TWh,312 TWh,53 TWh
Greece,2009,373 TWh,37.81 TWh,98.01 TWh,236.81 TWh,0 TWh,7 TWh,24 TWh,15 TWh
Hong Kong,2009,309 TWh,28.92 TWh,83.25 TWh,196.68 TWh,0 TWh,0 TWh,0 TWh,0 TWh
Hungary,2009,220 TWh,106.44 TWh,29.72 TWh,84.23 TWh,0 TWh,1 TWh,11 TWh,1 TWh
Iceland,2009,,,1.03 TWh,8.83 TWh,0 TWh,0 TWh,46 TWh,34 TWh
India,2009,"5,553 TWh",491.08 TWh,"3,268.27 TWh","1,793.48 TWh",0 TWh,45 TWh,389 TWh,297 TWh
Indonesia,2009,"1,547 TWh",421.01 TWh,378.32 TWh,747.33 TWh,0 TWh,0 TWh,59 TWh,32 TWh
Iran,2009,"2,360 TWh","1,347.94 TWh",9.26 TWh,"1,002.68 TWh",0 TWh,1 TWh,19 TWh,19 TWh
Iraq,2009,,68.53 TWh,,263.08 TWh,0 TWh,0 TWh,8 TWh,8 TWh
Ireland,2009,164 TWh,49.56 TWh,23.20 TWh,91.39 TWh,0 TWh,8 TWh,12 TWh,3 TWh
Israel,2009,255 TWh,40.02 TWh,89.97 TWh,124.93 TWh,0 TWh,0 TWh,0 TWh,0 TWh
Italy,2009,"1,763 TWh",743.18 TWh,143.82 TWh,875.99 TWh,2 TWh,18 TWh,209 TWh,137 TWh
Japan,2009,"4,527 TWh",924.78 TWh,"1,186.95 TWh","2,415.51 TWh",9 TWh,10 TWh,278 TWh,197 TWh
Kazakhstan,2009,553 TWh,80.93 TWh,359.79 TWh,112.73 TWh,0 TWh,0 TWh,19 TWh,19 TWh
Kuwait,2009,349 TWh,118.46 TWh,0.00 TWh,230.92 TWh,0 TWh,0 TWh,,
Latvia,2009,34 TWh,14.45 TWh,0.99 TWh,18.38 TWh,0 TWh,0 TWh,10 TWh,10 TWh
Lithuania,2009,58 TWh,25.37 TWh,1.96 TWh,31.07 TWh,0 TWh,0 TWh,3 TWh,1 TWh
Luxembourg,2009,46 TWh,12.94 TWh,0.78 TWh,32.63 TWh,0 TWh,0 TWh,1 TWh,0 TWh
Malaysia,2009,879 TWh,400.22 TWh,123.46 TWh,355.62 TWh,0 TWh,0 TWh,24 TWh,19 TWh
Mexico,2009,"1,991 TWh",651.69 TWh,119.75 TWh,"1,219.58 TWh",0 TWh,2 TWh,98 TWh,75 TWh
Morocco,2009,168 TWh,6.83 TWh,31.47 TWh,129.22 TWh,0 TWh,1 TWh,8 TWh,7 TWh
Netherlands,2009,"1,031 TWh",413.58 TWh,87.22 TWh,530.08 TWh,0 TWh,13 TWh,37 TWh,0 TWh
New Zealand,2009,142 TWh,40.14 TWh,18.82 TWh,83.40 TWh,0 TWh,4 TWh,87 TWh,68 TWh
North Macedonia,2009,28 TWh,0.75 TWh,15.55 TWh,11.58 TWh,0 TWh,0 TWh,4 TWh,4 TWh
Norway,2009,167 TWh,41.29 TWh,6.50 TWh,119.02 TWh,0 TWh,3 TWh,354 TWh,350 TWh
Oman,2009,199 TWh,135.47 TWh,0.02 TWh,63.71 TWh,0 TWh,0 TWh,,
Pakistan,2009,650 TWh,347.02 TWh,57.30 TWh,246.17 TWh,0 TWh,0 TWh,80 TWh,80 TWh
Peru,2009,140 TWh,33.44 TWh,9.64 TWh,96.45 TWh,,0 TWh,59 TWh,56 TWh
Philippines,2009,274 TWh,37.42 TWh,70.56 TWh,166.28 TWh,0 TWh,0 TWh,57 TWh,27 TWh
Poland,2009,"1,060 TWh",150.95 TWh,602.87 TWh,306.27 TWh,0 TWh,3 TWh,34 TWh,7 TWh
Portugal,2009,235 TWh,47.69 TWh,33.22 TWh,153.80 TWh,0 TWh,21 TWh,55 TWh,23 TWh
Qatar,2009,,212.71 TWh,,74.30 TWh,0 TWh,0 TWh,,
Romania,2009,319 TWh,123.05 TWh,87.61 TWh,107.87 TWh,0 TWh,0 TWh,45 TWh,43 TWh
Russia,2009,"6,596 TWh","3,977.89 TWh","1,071.75 TWh","1,546.32 TWh",0 TWh,0 TWh,488 TWh,486 TWh
Saudi Arabia,2009,"2,205 TWh",745.27 TWh,0.27 TWh,"1,459.59 TWh",0 TWh,0 TWh,,
Singapore,2009,727 TWh,91.81 TWh,0.05 TWh,634.79 TWh,0 TWh,0 TWh,,
Slovakia,2009,140 TWh,51.47 TWh,44.54 TWh,43.66 TWh,0 TWh,0 TWh,15 TWh,12 TWh
Slovenia,2009,57 TWh,9.67 TWh,16.37 TWh,30.95 TWh,0 TWh,0 TWh,14 TWh,13 TWh
South Africa,2009,"1,413 TWh",33.24 TWh,"1,091.17 TWh",288.55 TWh,0 TWh,0 TWh,6 TWh,4 TWh
South Korea,2009,"2,400 TWh",354.92 TWh,797.76 TWh,"1,246.88 TWh",2 TWh,2 TWh,16 TWh,8 TWh
Spain,2009,"1,313 TWh",363.08 TWh,109.67 TWh,839.86 TWh,17 TWh,106 TWh,211 TWh,74 TWh
Sri Lanka,2009,,,0.68 TWh,52.81 TWh,0 TWh,0 TWh,11 TWh,11 TWh
Sweden,2009,217 TWh,11.49 TWh,23.23 TWh,182.32 TWh,0 TWh,7 TWh,230 TWh,183 TWh
Switzerland,2009,182 TWh,31.34 TWh,1.72 TWh,148.45 TWh,0 TWh,0 TWh,104 TWh,100 TWh
Taiwan,2009,"1,088 TWh",124.67 TWh,421.60 TWh,542.13 TWh,0 TWh,2 TWh,19 TWh,10 TWh
Thailand,2009,"1,073 TWh",381.24 TWh,174.90 TWh,517.23 TWh,0 TWh,0 TWh,35 TWh,19 TWh
Trinidad and Tobago,2009,216 TWh,190.88 TWh,0.00 TWh,25.51 TWh,0 TWh,0 TWh,,
Turkey,2009,"1,088 TWh",337.22 TWh,359.34 TWh,391.06 TWh,0 TWh,4 TWh,107 TWh,100 TWh
Turkmenistan,2009,,171.13 TWh,,60.46 TWh,0 TWh,0 TWh,0 TWh,0 TWh
USSR,2009,,,,,,,,
Ukraine,2009,"1,074 TWh",489.09 TWh,417.17 TWh,168.18 TWh,0 TWh,0 TWh,34 TWh,33 TWh
United Arab Emirates,2009,926 TWh,575.88 TWh,3.19 TWh,346.49 TWh,0 TWh,0 TWh,,
United Kingdom,2009,"2,159 TWh",912.24 TWh,346.70 TWh,899.68 TWh,0 TWh,26 TWh,86 TWh,15 TWh
United States,2009,"21,396 TWh","6,176.28 TWh","5,482.38 TWh","9,737.24 TWh",6 TWh,208 TWh,"1,456 TWh",758 TWh
Uzbekistan,2009,507 TWh,440.73 TWh,11.07 TWh,55.23 TWh,0 TWh,0 TWh,18 TWh,18 TWh
Venezuela,2009,742 TWh,342.17 TWh,2.76 TWh,397.19 TWh,0 TWh,0 TWh,240 TWh,240 TWh
Vietnam,2009,384 TWh,77.30 TWh,129.73 TWh,176.75 TWh,0 TWh,0 TWh,84 TWh,84 TWh
Algeria,2010,438 TWh,253.27 TWh,3.61 TWh,181.61 TWh,0 TWh,0 TWh,1 TWh,0 TWh
Argentina,2010,762 TWh,420.87 TWh,13.47 TWh,327.44 TWh,0 TWh,0 TWh,103 TWh,93 TWh
Australia,2010,"1,444 TWh",317.06 TWh,607.39 TWh,519.31 TWh,3 TWh,14 TWh,65 TWh,38 TWh
Austria,2010,287 TWh,96.13 TWh,39.34 TWh,151.92 TWh,0 TWh,6 TWh,133 TWh,106 TWh
Azerbaijan,2010,119 TWh,81.58 TWh,0.05 TWh,37.75 TWh,0 TWh,0 TWh,10 TWh,10 TWh
Bangladesh,2010,248 TWh,192.54 TWh,8.68 TWh,46.80 TWh,0 TWh,0 TWh,2 TWh,2 TWh
Belarus,2010,305 TWh,207.28 TWh,7.51 TWh,90.67 TWh,0 TWh,0 TWh,1 TWh,0 TWh
Belgium,2010,613 TWh,194.04 TWh,43.60 TWh,374.98 TWh,2 TWh,4 TWh,24 TWh,1 TWh
Brazil,2010,"1,749 TWh",275.77 TWh,168.20 TWh,"1,305.48 TWh",0 TWh,6 TWh,"1,397 TWh","1,119 TWh"
Bulgaria,2010,155 TWh,26.72 TWh,80.05 TWh,47.89 TWh,0 TWh,2 TWh,16 TWh,14 TWh
Canada,2010,"2,469 TWh",915.72 TWh,286.99 TWh,"1,266.49 TWh",1 TWh,24 TWh,"1,044 TWh",975 TWh
Chile,2010,292 TWh,57.40 TWh,52.23 TWh,182.13 TWh,0 TWh,1 TWh,72 TWh,60 TWh
China,2010,"26,644 TWh","1,088.74 TWh","20,340.54 TWh","5,214.49 TWh",2 TWh,137 TWh,"2,213 TWh","1,975 TWh"
Colombia,2010,303 TWh,87.45 TWh,55.91 TWh,159.78 TWh,0 TWh,0 TWh,121 TWh,113 TWh
Croatia,2010,82 TWh,30.61 TWh,7.94 TWh,43.89 TWh,0 TWh,0 TWh,26 TWh,25 TWh
Cyprus,2010,,,0.17 TWh,33.50 TWh,0 TWh,0 TWh,,
Czechia,2010,419 TWh,93.85 TWh,218.38 TWh,106.87 TWh,2 TWh,1 TWh,20 TWh,8 TWh
Denmark,2010,191 TWh,51.84 TWh,45.47 TWh,93.89 TWh,0 TWh,22 TWh,37 TWh,0 TWh
Ecuador,2010,130 TWh,6.19 TWh,0.12 TWh,124.13 TWh,0 TWh,0 TWh,25 TWh,24 TWh
Egypt,2010,855 TWh,434.18 TWh,5.40 TWh,415.59 TWh,0 TWh,4 TWh,40 TWh,36 TWh
Estonia,2010,70 TWh,6.54 TWh,46.83 TWh,16.48 TWh,0 TWh,1 TWh,3 TWh,0 TWh
Finland,2010,237 TWh,41.30 TWh,78.92 TWh,117.17 TWh,0 TWh,1 TWh,73 TWh,36 TWh
France,2010,"1,610 TWh",495.64 TWh,133.87 TWh,980.46 TWh,2 TWh,28 TWh,246 TWh,174 TWh
Germany,2010,"3,135 TWh",880.71 TWh,896.17 TWh,"1,357.64 TWh",33 TWh,107 TWh,338 TWh,58 TWh
Greece,2010,348 TWh,41.44 TWh,91.51 TWh,214.72 TWh,0 TWh,8 TWh,31 TWh,21 TWh
Hong Kong,2010,321 TWh,35.94 TWh,72.42 TWh,212.64 TWh,0 TWh,0 TWh,0 TWh,0 TWh
Hungary,2010,225 TWh,114.15 TWh,31.31 TWh,79.05 TWh,0 TWh,1 TWh,11 TWh,1 TWh
Iceland,2010,,,1.08 TWh,8.46 TWh,0 TWh,0 TWh,47 TWh,35 TWh
India,2010,"5,771 TWh",589.62 TWh,"3,348.55 TWh","1,832.57 TWh",0 TWh,54 TWh,413 TWh,302 TWh
Indonesia,2010,"1,661 TWh",440.48 TWh,429.62 TWh,791.23 TWh,0 TWh,0 TWh,77 TWh,48 TWh
Iran,2010,"2,393 TWh","1,443.89 TWh",13.36 TWh,935.38 TWh,0 TWh,0 TWh,29 TWh,28 TWh
Iraq,2010,,71.35 TWh,,299.04 TWh,0 TWh,0 TWh,10 TWh,10 TWh
Ireland,2010,167 TWh,54.67 TWh,23.10 TWh,89.00 TWh,0 TWh,8 TWh,12 TWh,2 TWh
Israel,2010,265 TWh,51.13 TWh,89.92 TWh,123.85 TWh,0 TWh,0 TWh,1 TWh,0 TWh
Italy,2010,"1,804 TWh",791.50 TWh,159.03 TWh,853.39 TWh,5 TWh,25 TWh,233 TWh,142 TWh
Japan,2010,"4,791 TWh",999.37 TWh,"1,352.73 TWh","2,438.68 TWh",11 TWh,11 TWh,338 TWh,246 TWh
Kazakhstan,2010,592 TWh,87.57 TWh,388.26 TWh,116.30 TWh,0 TWh,0 TWh,22 TWh,22 TWh
Kuwait,2010,393 TWh,139.76 TWh,0.04 TWh,253.16 TWh,0 TWh,0 TWh,,
Latvia,2010,39 TWh,17.23 TWh,1.27 TWh,20.74 TWh,0 TWh,0 TWh,10 TWh,10 TWh
Lithuania,2010,63 TWh,28.98 TWh,2.41 TWh,31.25 TWh,0 TWh,1 TWh,3 TWh,1 TWh
Luxembourg,2010,49 TWh,13.92 TWh,0.78 TWh,34.17 TWh,0 TWh,0 TWh,1 TWh,0 TWh
Malaysia,2010,911 TWh,380.23 TWh,171.74 TWh,359.26 TWh,0 TWh,0 TWh,22 TWh,18 TWh
Mexico,2010,"1,980 TWh",660.45 TWh,148.12 TWh,"1,171.32 TWh",0 TWh,3 TWh,128 TWh,103 TWh
Morocco,2010,184 TWh,7.38 TWh,32.42 TWh,143.71 TWh,0 TWh,2 TWh,11 TWh,10 TWh
Netherlands,2010,"1,123 TWh",467.58 TWh,87.78 TWh,568.00 TWh,0 TWh,11 TWh,37 TWh,0 TWh
New Zealand,2010,144 TWh,43.76 TWh,16.07 TWh,84.06 TWh,0 TWh,5 TWh,91 TWh,69 TWh
North Macedonia,2010,27 TWh,1.11 TWh,15.06 TWh,11.23 TWh,0 TWh,0 TWh,7 TWh,7 TWh
Norway,2010,171 TWh,40.97 TWh,8.86 TWh,121.60 TWh,0 TWh,2 TWh,329 TWh,324 TWh
Oman,2010,237 TWh,163.81 TWh,0.34 TWh,72.78 TWh,0 TWh,0 TWh,,
Pakistan,2010,651 TWh,353.48 TWh,53.85 TWh,243.88 TWh,0 TWh,0 TWh,83 TWh,83 TWh
Peru,2010,165 TWh,54.24 TWh,9.46 TWh,101.52 TWh,,0 TWh,60 TWh,56 TWh
Philippines,2010,290 TWh,35.25 TWh,81.77 TWh,173.12 TWh,0 TWh,0 TWh,51 TWh,22 TWh
Poland,2010,"1,126 TWh",162.33 TWh,640.52 TWh,323.05 TWh,0 TWh,5 TWh,40 TWh,8 TWh
Portugal,2010,222 TWh,51.89 TWh,19.16 TWh,150.46 TWh,1 TWh,25 TWh,84 TWh,45 TWh
Qatar,2010,,254.06 TWh,,79.81 TWh,0 TWh,0 TWh,,
Romania,2010,310 TWh,125.47 TWh,81.89 TWh,102.89 TWh,0 TWh,1 TWh,58 TWh,55 TWh
Russia,2010,"6,897 TWh","4,239.20 TWh","1,053.02 TWh","1,604.92 TWh",0 TWh,0 TWh,464 TWh,462 TWh
Saudi Arabia,2010,"2,451 TWh",832.77 TWh,0.79 TWh,"1,617.54 TWh",0 TWh,0 TWh,,
Singapore,2010,771 TWh,83.36 TWh,0.09 TWh,687.98 TWh,0 TWh,0 TWh,,
Slovakia,2010,149 TWh,58.22 TWh,44.79 TWh,45.79 TWh,0 TWh,0 TWh,18 TWh,15 TWh
Slovenia,2010,58 TWh,10.03 TWh,16.70 TWh,31.07 TWh,0 TWh,0 TWh,14 TWh,13 TWh
South Africa,2010,"1,422 TWh",41.22 TWh,"1,079.54 TWh",301.25 TWh,0 TWh,0 TWh,5 TWh,3 TWh
South Korea,2010,"2,621 TWh",450.16 TWh,897.16 TWh,"1,274.00 TWh",2 TWh,2 TWh,20 TWh,10 TWh
Spain,2010,"1,259 TWh",361.96 TWh,80.21 TWh,817.32 TWh,20 TWh,121 TWh,286 TWh,117 TWh
Sri Lanka,2010,,,0.70 TWh,52.98 TWh,0 TWh,0 TWh,16 TWh,16 TWh
Sweden,2010,229 TWh,15.47 TWh,32.03 TWh,181.98 TWh,0 TWh,10 TWh,241 TWh,186 TWh
Switzerland,2010,174 TWh,35.00 TWh,1.72 TWh,137.77 TWh,0 TWh,0 TWh,105 TWh,100 TWh
Taiwan,2010,"1,175 TWh",154.80 TWh,452.32 TWh,567.48 TWh,0 TWh,3 TWh,21 TWh,12 TWh
Thailand,2010,"1,147 TWh",432.06 TWh,179.48 TWh,535.20 TWh,0 TWh,0 TWh,34 TWh,15 TWh
Trinidad and Tobago,2010,234 TWh,207.40 TWh,0.00 TWh,26.46 TWh,0 TWh,0 TWh,0 TWh,0 TWh
Turkey,2010,"1,105 TWh",358.21 TWh,365.62 TWh,381.21 TWh,0 TWh,8 TWh,155 TWh,144 TWh
Turkmenistan,2010,,182.72 TWh,,66.84 TWh,0 TWh,0 TWh,0 TWh,0 TWh
USSR,2010,,,,,,,,
Ukraine,2010,"1,152 TWh",545.61 TWh,444.86 TWh,161.76 TWh,0 TWh,0 TWh,37 TWh,37 TWh
United Arab Emirates,2010,972 TWh,592.72 TWh,7.65 TWh,372.07 TWh,0 TWh,0 TWh,,
United Kingdom,2010,"2,225 TWh",984.93 TWh,354.81 TWh,885.20 TWh,0 TWh,29 TWh,91 TWh,10 TWh
United States,2010,"22,174 TWh","6,481.93 TWh","5,800.54 TWh","9,891.23 TWh",8 TWh,265 TWh,"1,516 TWh",714 TWh
Uzbekistan,2010,508 TWh,440.44 TWh,9.23 TWh,58.78 TWh,0 TWh,0 TWh,23 TWh,23 TWh
Venezuela,2010,734 TWh,312.67 TWh,2.32 TWh,418.58 TWh,0 TWh,0 TWh,213 TWh,213 TWh
Vietnam,2010,461 TWh,90.73 TWh,169.26 TWh,200.76 TWh,0 TWh,0 TWh,79 TWh,79 TWh
Algeria,2011,463 TWh,267.97 TWh,3.20 TWh,192.23 TWh,0 TWh,0 TWh,1 TWh,1 TWh
Argentina,2011,793 TWh,438.40 TWh,14.62 TWh,339.91 TWh,0 TWh,0 TWh,99 TWh,86 TWh
Australia,2011,"1,470 TWh",330.82 TWh,592.06 TWh,547.06 TWh,6 TWh,18 TWh,89 TWh,54 TWh
Austria,2011,275 TWh,90.42 TWh,40.41 TWh,144.40 TWh,0 TWh,5 TWh,121 TWh,94 TWh
Azerbaijan,2011,139 TWh,89.35 TWh,0.04 TWh,49.83 TWh,0 TWh,0 TWh,7 TWh,7 TWh
Bangladesh,2011,269 TWh,195.82 TWh,12.92 TWh,60.02 TWh,0 TWh,0 TWh,3 TWh,2 TWh
Belarus,2011,300 TWh,192.26 TWh,9.02 TWh,98.70 TWh,0 TWh,0 TWh,1 TWh,0 TWh
Belgium,2011,557 TWh,165.24 TWh,41.05 TWh,350.52 TWh,3 TWh,6 TWh,29 TWh,1 TWh
Brazil,2011,"1,806 TWh",274.83 TWh,179.67 TWh,"1,351.84 TWh",0 TWh,7 TWh,"1,448 TWh","1,182 TWh"
Bulgaria,2011,170 TWh,30.59 TWh,94.14 TWh,45.73 TWh,0 TWh,2 TWh,11 TWh,8 TWh
Canada,2011,"2,532 TWh","1,005.51 TWh",258.73 TWh,"1,268.16 TWh",2 TWh,28 TWh,"1,116 TWh","1,036 TWh"
Chile,2011,314 TWh,58.37 TWh,66.99 TWh,189.08 TWh,0 TWh,1 TWh,71 TWh,57 TWh
China,2011,"28,886 TWh","1,351.63 TWh","22,143.60 TWh","5,390.73 TWh",7 TWh,204 TWh,"2,220 TWh","1,898 TWh"
Colombia,2011,299 TWh,85.15 TWh,45.27 TWh,168.51 TWh,0 TWh,0 TWh,145 TWh,134 TWh
Croatia,2011,80 TWh,29.89 TWh,8.17 TWh,41.73 TWh,0 TWh,1 TWh,15 TWh,14 TWh
Cyprus,2011,,,0.08 TWh,32.95 TWh,0 TWh,0 TWh,,
Czechia,2011,402 TWh,79.19 TWh,214.99 TWh,108.28 TWh,6 TWh,1 TWh,25 TWh,5 TWh
Denmark,2011,172 TWh,43.47 TWh,37.84 TWh,90.33 TWh,0 TWh,27 TWh,43 TWh,0 TWh
Ecuador,2011,133 TWh,5.61 TWh,0.11 TWh,127.30 TWh,0 TWh,0 TWh,32 TWh,31 TWh
